date,irt3m_eacc_t,irt6m_eacc_t,ltirt_eacc_t,ppicag_ea_t,ppicog_ea_t,ppindcog_ea_t,ppidcog_ea_t,ppiing_ea_t,ppinrg_ea_t,hicpov_ea_t,hicpnef_ea_t,hicpg_ea_t,hicpin_ea_t,hicpsv_ea_t,hicpng_ea_t,curr_eacc_t,m1_eacc_t,m2_eacc_t,oilpricex_t,hcpi_yoy_t,hcpi_yoy
2003-12-01,-0.012699999999999712,-0.024599999999999955,-0.0600000000000005,-0.06160892600171053,-0.13072713469792774,-0.20614098435771666,0.08590172887501524,0.3052183616101267,0.7293687248172809,0.044526984063164576,0.11933601306068908,-0.04294316410593524,-0.00025749696570542824,0.1679648673198919,0.962078141299294,2.456019040361035,0.6764390808356779,0.39893708085028123,0.008777324242793316,-0.11213659161080058,1.974885736608112
2004-01-01,-0.05679999999999996,-0.08409999999999984,-0.1299999999999999,-0.27914287781243274,-0.11953438357998891,-0.02440635989415796,-0.2195555089775425,0.10777533968235886,-0.9035844868237053,0.34987665439896176,0.29686051761474985,0.2888602086900782,0.2895224356228354,0.43480028300884044,0.2912989689898282,0.7802413528890995,0.8570325765376197,0.41250519162829846,0.03033165858992337,-0.14064753310101286,1.8342382035070992
2004-02-01,-0.018899999999999917,-0.02950000000000008,-0.040000000000000036,-0.2488295820048947,0.21650767755705402,0.13386634222376514,0.11407709230910612,0.4813254041064141,-0.7110471510602068,0.13647523830817576,0.21813756231425785,0.05374949070988677,0.1198317600247023,0.2513688636413214,-0.40682383246499754,1.357223670455987,0.6634984011936851,0.4098260254570718,-0.050236460276448014,-0.16599702828847818,1.668241175218621
2004-03-01,-0.04180000000000028,-0.06740000000000013,-0.17999999999999972,0.23115271631297674,0.5494605587010426,0.6048881343334145,0.30797031656844,0.6727439890497067,0.6644991594775718,0.30726311181190624,0.09695264690536831,0.3847125191488665,0.23990805449987107,0.19968094509721368,0.43361954104188527,1.4886570542985922,1.3813677608274233,0.6575412172265871,0.0428971117480863,0.023606598190140105,1.6918477734087611
2004-04-01,0.020000000000000018,0.04289999999999994,0.1900000000000004,0.20910357679353453,0.19379011597209228,0.11862404432712026,0.19644432754892804,0.4310494466656323,1.076771059205539,0.2882222213020036,0.24569727109717832,0.275256639147603,0.36279538068892947,0.3062385305771187,0.5373654170371722,1.398015734925373,0.5874730130713601,0.4638965349540669,-0.058424595794823286,0.40568966171794507,2.097537435126706
2004-05-01,0.03710000000000013,0.07460000000000022,0.15999999999999925,0.2720677879249678,0.1314986178348576,0.10335639508500805,0.24002838998118392,0.5738428260036343,3.256143604868189,0.26234831081275445,0.03374912409652708,0.4212364873887431,0.5415699638134264,0.041148869623341966,2.490552931576673,1.6566392401077934,-0.07867840860189546,0.2727900429929875,0.09525688860346682,0.3329979178508857,2.430535352977592
2004-06-01,0.026799999999999713,0.05249999999999977,0.0600000000000005,0.011040898260183951,0.0920229010356266,0.11249023030277527,0.22643087227232073,0.25882324946806534,-0.6659555394943784,0.11822706599851074,0.20510459418261462,0.008482929120123828,-0.074207416757055,0.27109737400934364,-0.4237262623283833,1.198150671739029,0.7806867420670827,0.5501357183860023,-0.1510935602732495,-0.0464853403054688,2.384050012672123
2004-07-01,0.0033000000000003027,-0.0006999999999997009,-0.10000000000000053,-0.1673712170199515,0.0931532050282513,0.10488178744481047,-0.1316680894681177,0.5196329182839854,0.5364123208361438,0.13260851619936176,0.10601548541124828,0.11487637034841569,0.15549912650207887,0.15728296576700274,0.058896544668396444,1.7745768396045136,0.8469981349772837,0.6617636779534308,0.12561275574339348,-0.0538617584754153,2.330188254196708
2004-08-01,-0.0017000000000000348,-0.018700000000000383,-0.15999999999999925,-0.09274113682300467,0.16924594532374826,0.2458479095931665,0.13287862571402798,0.5726530836006383,1.4602244533618247,0.22726177840937112,0.18120428515437936,0.21780155722570527,0.4093119573316706,0.2404279540730414,1.1779346912307531,1.2187561830300453,0.516975215698956,0.31529084135879515,0.03147587979026989,0.008840461254910892,2.3390287154516187
2004-09-01,0.0042999999999997485,0.031200000000000117,-0.05000000000000071,-0.05130584445947051,-0.03105395855795834,-0.10543612370241817,0.1652494982661068,0.3243738980606814,1.0579808921695744,0.05452460119679259,0.11037140216441088,-0.07393817272234315,-0.07509500800191304,0.23287960584790213,-0.024093666344793263,1.2497889269655005,1.1645148991844323,0.8409866787378206,-0.07712032269907221,-0.21242351657970726,2.1266051988719115
2004-10-01,0.02870000000000017,-0.009700000000000042,-0.11999999999999966,-0.0032292265715661017,-0.07518132843129521,0.002782232752363001,-0.07327493365654192,0.5714380515041917,3.189011619624793,0.27649664094218096,0.07203804676585435,0.39624826306692285,0.6374408906573592,0.11023452903904385,2.9260416057645955,1.3555510969442963,0.6925456323529033,0.61934897964111,0.12296230961664323,0.20237135418206265,2.328976553053974
2004-11-01,0.02300000000000013,0.026699999999999946,-0.1200000000000001,-0.23148317235950344,0.08484601947049697,0.08457975468409984,0.06177670547220515,0.40378155473659305,-0.38772543264560255,-0.0016269620145337171,0.1372221047740929,-0.15675760835689445,-0.2392988319471101,0.2136419787155397,0.44549999355387726,1.2116388337453543,0.8660973061713761,0.4445400453171544,-0.2371909167356283,-0.10847830475306797,2.220498248300906
2004-12-01,0.0028999999999999027,-0.010799999999999699,-0.20999999999999996,-0.1854707227625596,0.10741703803862634,0.0361181386694831,-0.003950941633057425,0.11105892624874159,-0.7891335583345871,0.11275995778801118,0.15227402416515545,0.010508587884228149,-0.3961566956558471,0.25421577440249976,-0.646408012634847,1.4309184376362083,-0.24828466492561319,0.5541977559390787,-0.019890454562089488,0.06977188672077084,2.290270135021677
2005-01-01,-0.027800000000000047,-0.014499999999999957,-0.04999999999999982,0.21882975180531616,0.3569504419544067,0.3192033742255518,0.4989497046331337,0.4523769690864654,1.8591163975150593,0.057687837536057884,0.09531772259645521,-0.03164731511597907,0.04050198188076948,0.1844780291019532,-0.48494108870382746,1.4066393864128557,1.9709150166075773,0.8886146568714892,0.1897857826142606,-0.29844450700737823,1.9918256280142987
2005-02-01,-0.007000000000000117,-0.007400000000000073,-0.010000000000000231,-0.14251585935936006,0.10512513709013405,0.15983655139333308,0.00982216956977311,0.05145138289304185,1.0593330878408302,0.23127702654850424,0.062003070690686,0.2748564337674786,0.22962154175960592,0.16947963379401187,1.24937606072546,1.0255708944939101,0.8931265500956798,0.532555255648326,-0.054054026193242954,0.09673592100087891,2.0885615490151777
2005-03-01,-0.0011999999999998678,0.007200000000000095,0.15000000000000036,-0.15768809380931614,-0.00668648517745396,-0.0782185652334455,-0.13876087279651728,0.032503329983946116,2.3459080349226724,0.3468299917983586,0.11657915950351594,0.44813867637474303,0.5175411160763588,0.20282119276942012,1.4228617495803952,1.4102838549863606,0.5317593231231044,0.4593106109467726,0.10029427974832572,0.040401250858135285,2.128962799873313
2005-04-01,0.0,-0.019600000000000062,-0.20000000000000018,0.13950801794768708,-0.011069174322475561,0.15338659373069774,0.2011998212117838,-0.1022296513172094,1.6853508108200188,0.2584796919566479,0.09994615195374479,0.3305761790386441,0.5368832522230527,0.15582016018864664,1.5083606419763917,1.1386892812447869,0.5901400937545986,0.7387764018295329,-0.1477945827019287,-0.030371219922442627,2.0985915799508703
2005-05-01,-0.011600000000000055,-0.028100000000000236,-0.16000000000000014,0.018065534968148,0.08955116965614351,0.07797006491943037,-0.1885168848594354,-0.37930042834846134,-0.9922913856321713,0.07725877823654415,0.1303697162176043,0.025525892600164468,-0.05601766657044038,0.15094035781153536,-0.7552096751358484,1.1579215941285526,1.0068770786393344,0.7113558126654596,-0.03876710741514655,-0.18879902840354124,1.909792551547329
2005-06-01,-0.014599999999999724,-0.0371999999999999,-0.1599999999999997,0.20297465764711475,0.317598028889865,0.3097858690515487,0.09666938784409496,0.11004600668762521,2.8341640605636265,0.19950028118511653,0.06564682098737507,0.24843740636448786,0.35252968890358005,0.12978943998547265,1.6788532775088072,1.4632203966906232,6.4104672773046545,1.0815433780106076,0.18379572435269154,0.08285903153517604,1.9926515830825051
2005-07-01,0.008399999999999963,0.02760000000000007,0.05999999999999961,-0.13543525416972457,-0.13400615035461527,-0.11322326334273214,0.14181969368234348,-0.24294233706187995,1.4414476405809395,0.3139128741324271,0.10837208761396155,0.4114949432665327,0.6427502168610211,0.1746555092506874,1.915589731828149,0.8683665158391918,1.3908827834208992,1.029997855053466,-0.07891066699605798,0.1850848548457409,2.177736437928246
2005-08-01,0.013099999999999667,0.02499999999999991,0.020000000000000018,0.11037250290844014,-0.11683457991296109,-0.1666732236406787,0.10006216667974854,0.2645897258549468,1.707307335836905,0.2599607413642069,0.14772165935630355,0.2742034245314606,0.32973478571109993,0.2396020509674912,1.319046635520138,0.7685225047088906,0.6307247688315698,0.4956545335575768,0.05902997428604895,0.03341652331645406,2.2111529612447
2005-09-01,0.006600000000000161,0.007099999999999884,-0.1599999999999997,0.2681752075314847,0.23706911666749875,0.15690696101522406,-0.2173957791745451,0.06909732492683673,2.832164534497039,0.41412264728259984,0.10829999641979171,0.589313390509183,0.7464457553372661,0.1631742334065045,3.3452419080241214,1.3051156455212265,0.6014721006426527,1.1137159065784275,-0.09229324867530053,0.368210951844405,2.579363913089105
2005-10-01,0.05750000000000011,0.10539999999999994,0.1599999999999997,-0.00022001940731541936,0.1028196976660567,0.2021567590698936,0.29430675179300536,0.41919878209828454,1.2057877349732848,0.12452564561060697,0.1330414045056294,0.11140596128642599,0.1450032373488952,0.14336197067139622,0.6016072746253265,0.7412975944323108,0.8071958877891916,0.3523777435704645,-0.05922653312058479,-0.155772485865024,2.423591427224081
2005-11-01,0.1642999999999999,0.22820000000000018,0.20999999999999996,0.1196711429681585,0.34686302838125016,0.3373910300279448,0.059401580773776885,0.5067948643461939,-0.3828744062091438,-0.17568978288977632,0.10698277795500033,-0.3882239605252913,-0.6768141961750018,0.12848861004375323,-1.5811524811828903,1.0024012836774787,0.5959444021531368,0.41905721382420325,-0.01744841344408865,-0.17812632165612463,2.2454651055679564
2005-12-01,0.1120000000000001,0.10009999999999986,-0.10999999999999988,-0.05561088240115808,0.22564239183138213,0.27829884161301166,0.031747187527120246,0.4610767716515696,1.5752540733631193,0.08112055337354818,0.11478765036576632,0.015963572593680198,-0.14772074882793973,0.17405861299488734,0.6138665793759657,0.612820652936108,0.9250259008121375,1.0911104308268804,0.08667935320370823,-0.03234473908895197,2.2131203664790045
2006-01-01,0.038799999999999724,0.05040000000000022,-0.020000000000000018,-0.18744197096012272,0.1396576140063388,0.2174809051066262,-0.06854551652963892,0.4266426187151673,2.962338818447652,0.27251590263643877,0.05024623026477215,0.3863902643014505,0.5349736964292084,0.11027162832801807,1.7210219677687988,1.0994745191535316,0.6724887560142889,0.5137452250242092,0.07820659734309299,0.2198185001367925,2.432938866615797
2006-02-01,0.08870000000000022,0.07410000000000005,0.1499999999999999,0.14202119646080646,0.08988911587497483,0.1579213263878998,-0.10443314153718575,0.5561967625826725,1.221320705528317,0.1637800118025723,0.08914475413588363,0.14895557392247127,0.06756786668997705,0.18492145576649577,0.345389115940975,0.9474730935306042,0.7131936661526339,0.8305428321133235,-0.1584576911348501,-0.06911584766056089,2.363823018955236
2006-03-01,0.12219999999999986,0.14719999999999978,0.1900000000000004,0.0288677128303938,0.05738877888674665,0.08856901649929583,0.13343863931334354,0.3330510400740394,0.3799687611828695,0.17175110877332145,0.15024968586807574,0.16936894760455345,0.20278482853193225,0.17514761701553638,-0.36735868242265823,0.7546668176225069,0.5578310408044018,0.7501367266675274,0.0814514365018777,-0.17906064353703233,2.1847623754182037
2006-04-01,0.07120000000000015,0.08410000000000029,0.2599999999999998,-0.14236341968887345,0.11790161777609498,0.03843959724711965,-0.15143794632361818,0.533058592791047,1.8834121158638695,0.37733127801979904,0.1256911453517695,0.5565430941464555,0.7679317414661213,0.12114833550729287,1.8327160098771778,0.7960701765743039,0.9668416779788913,1.1718952768665858,0.08211327301178883,0.12152041096127286,2.3062827863794766
2006-05-01,0.09519999999999973,0.10209999999999964,0.06000000000000005,-0.005300808908881294,0.2877887925407663,0.29948297638302535,0.2142118981594443,0.7186243423914718,-0.011934450146178222,0.2625275749416289,0.1331835648121782,0.29588504115336534,0.2634717051362756,0.21472903570538548,0.5411300654789564,0.9399849287140327,0.8534034904853272,0.34897369102786513,-0.08473305784898422,0.1897173082928476,2.496000094672324
2006-06-01,0.09670000000000023,0.09980000000000011,0.009999999999999787,0.06812436478043082,0.04737032473434155,0.007642670986385269,0.08692035662436481,0.269647549131502,-0.5324470259083114,0.16417422117394054,0.17706608776952848,0.1548987718283712,0.11535162357931839,0.17746622109626742,-0.4333128792039176,0.9932000530969987,0.20704363111860857,0.7262834013692654,-0.01749572523920051,-0.03620140386115844,2.4597986908111658
2006-07-01,0.11649999999999983,0.12950000000000017,0.03000000000000025,0.10610288704251403,0.10083681443013859,0.1352267848499622,0.14092178729896432,0.6829978379149892,1.3437012078138189,0.2969875458289195,0.12909306470438864,0.36148434901681625,0.34858946958049586,0.20445396591570741,0.709810990910853,0.7675090316601185,-0.18503982735449398,0.08942260659843271,0.04719211475199803,-0.017340189824088803,2.442458500987077
2006-08-01,0.1243000000000003,0.1221000000000001,-0.1299999999999999,-0.1329863956780919,0.21713651820816082,0.1669872818458984,-0.02377220194587082,0.19171998863072304,-0.5165356346298999,0.1278438492404277,0.07271801457422455,0.13707751682723313,0.026183996115669572,0.11459699360862885,0.434971275048035,0.8249783093633667,0.3003372656657177,0.5866500356129123,-0.06592020662030684,-0.1352544257411159,2.307204075245961
2006-09-01,0.10889999999999977,0.11789999999999967,-0.1200000000000001,0.06443671480180768,-0.07791076053429435,-0.05710308570066047,0.12200312110355327,0.3102605552262716,-2.7913012648185465,-0.13161353651884866,0.18136767616772076,-0.374992275741004,-0.705174400632913,0.21684677022042465,-2.761149902897042,0.9952366689464753,0.7226255581834096,1.2319842842169137,-0.11584816741074988,-0.556806701514434,1.750397373731527
2006-10-01,0.16659999999999986,0.1171000000000002,0.029999999999999805,0.13092631549680434,0.16868007516341876,0.1786752197714847,0.07289114243267392,0.5773233486777052,-1.4395967033778767,-0.06009282895860224,0.12929441606370773,-0.23498112611388677,-0.39754115882599805,0.18902613142302016,-1.1778152366435535,0.9729826486269744,-0.025930240557059392,0.21624303963942992,0.05294607747033453,-0.18767673523021333,1.5627206385013137
2006-11-01,0.09520000000000017,0.08349999999999991,-0.06999999999999984,-0.10483276955790544,-0.0018826560542528625,-0.02010326386692185,0.16422745252251403,0.35772550629999955,0.9014077301116252,0.11031684163054223,0.15623972725764546,0.030924118245589938,-0.07403101049101579,0.2230873299642333,0.6783752110021801,0.6409964698333326,0.7762963052206473,0.8576722164930217,0.08963586701483894,0.2908918958245188,1.8536125343258325
2006-12-01,0.08700000000000019,0.06130000000000013,0.06000000000000005,0.0605896914089854,0.10708232637997028,0.1655529738934014,-0.08002197341037132,0.39462997620329787,1.1928398715419064,0.11716020421719264,0.13255735862127693,0.09996912715841688,0.12164073613458726,0.14153148766000712,1.6065636190647048,0.8906860030240438,2.1358677806968984,1.621261852803535,0.035541516840480014,0.036714301784735115,1.8903268361105676
2007-01-01,0.06769999999999987,0.10029999999999983,0.24999999999999956,0.20365152998609304,0.17306049952177105,0.12502658836854863,-0.020751995582379834,0.6730054599405122,-1.8087901035152676,0.25907850136404065,0.29099577681410693,0.1641948211752009,0.1977007795047392,0.39359900052220453,-0.4115365503098545,0.509743029680898,0.014636299482617687,0.6287549645289658,-0.17196294848932814,-0.01369049223094465,1.876636343879623
