cutoff,target_time,horizon_step,prediction,h_step_sd,y_true,num_factors,num_lags
2010-08-31,2010-09-30,1,1.5464613389194506,0.23261354714925583,1.764018510864207,1,1
2010-08-31,2010-10-31,2,1.5247886624109317,0.34122356822606975,1.9248406949512464,1,1
2010-08-31,2010-11-30,3,1.5111029917274057,0.4260921240255182,1.9058280123447344,1,1
2010-08-31,2011-02-28,6,1.4904040991496217,0.6169926634000573,2.609852934503376,1,1
2010-08-31,2011-08-31,12,1.4711689818028537,0.8834436846589047,2.753747291211628,1,1
2010-09-30,2010-10-31,1,1.7935339494847544,0.23223548242574013,1.9248406949512464,1,1
2010-09-30,2010-11-30,2,1.8061494461818923,0.3405811691361544,1.9058280123447344,1,1
2010-09-30,2010-12-31,3,1.8129165685148216,0.4252523322024049,2.2023205218023145,1,1
2010-09-30,2011-03-31,6,1.8186231147006633,0.6157279110869917,2.63127617196548,1,1
2010-09-30,2011-09-30,12,1.8141484635699918,0.8816022918683175,2.8731837256162684,1,1
2010-10-31,2010-11-30,1,1.9797493439580742,0.2314998859326606,1.9058280123447344,1,1
2010-10-31,2010-12-31,2,2.0099296318618336,0.33959489145415866,2.2023205218023145,1,1
2010-10-31,2011-01-31,3,2.0278209580724527,0.4240820965956727,2.4208800334111658,1,1
2010-10-31,2011-04-30,6,2.049005302023766,0.6141506828783128,2.6506902297918744,1,1
2010-10-31,2011-10-31,12,2.0557341120199046,0.8794366672168048,2.954160481596535,1,1
2010-11-30,2010-12-31,1,1.9890100408278353,0.23024594743510327,2.2023205218023145,1,1
2010-11-30,2011-01-31,2,2.044299232131607,0.33767430725632297,2.4208800334111658,1,1
2010-11-30,2011-02-28,3,2.077958888886765,0.42174431769709375,2.609852934503376,1,1
2010-11-30,2011-05-31,6,2.118093707516527,0.6110439804867481,2.6513738871934533,1,1
2010-11-30,2011-11-30,12,2.1293110769687824,0.875274229468609,2.9713191578955023,1,1
2010-12-31,2011-01-31,1,2.40134819664389,0.23067782280602592,2.4208800334111658,1,1
2010-12-31,2011-02-28,2,2.524065989671099,0.3386436584607586,2.609852934503376,1,1
2010-12-31,2011-03-31,3,2.599564035984565,0.4232086407770304,2.63127617196548,1,1
2010-12-31,2011-06-30,6,2.6946278056644095,0.6136692228671742,2.593861143013876,1,1
2010-12-31,2011-12-31,12,2.7339459281434015,0.8794370774726842,2.727659597539533,1,1
2011-01-31,2011-02-28,1,2.6270488845009665,0.2273269057078593,2.609852934503376,1,1
2011-01-31,2011-03-31,2,2.7642750975001404,0.3341132182907889,2.63127617196548,1,1
2011-01-31,2011-04-30,3,2.854638193789764,0.41831330050178944,2.6506902297918744,1,1
2011-01-31,2011-07-31,6,2.9825665844410603,0.6088891161109822,2.684959573070178,1,1
2011-01-31,2012-01-31,12,3.048268069066162,0.8748648837705679,2.6688553923178704,1,1
2011-02-28,2011-03-31,1,2.6983900149071784,0.2263011551359644,2.63127617196548,1,1
2011-02-28,2011-04-30,2,2.756415765402389,0.3323293838901908,2.6506902297918744,1,1
2011-02-28,2011-05-31,3,2.7958636366504894,0.4158761903187176,2.6513738871934533,1,1
2011-02-28,2011-08-31,6,2.858078153084127,0.6049197445718868,2.753747291211628,1,1
2011-02-28,2012-02-29,12,2.9085985298643333,0.8688060345793127,2.7444374609818745,1,1
2011-03-31,2011-04-30,1,2.757101510777773,0.22549816181259735,2.6506902297918744,1,1
2011-03-31,2011-05-31,2,2.84406265196707,0.33110459232046363,2.6513738871934533,1,1
2011-03-31,2011-06-30,3,2.902744564532554,0.41438339330053453,2.593861143013876,1,1
2011-03-31,2011-09-30,6,2.9916740908840542,0.6029618081067345,2.8731837256162684,1,1
2011-03-31,2012-03-31,12,3.0525982515053443,0.8662448404227399,2.7032415973407664,1,1
2011-04-30,2011-05-31,1,2.771568833578817,0.22426460495246728,2.6513738871934533,1,1
2011-04-30,2011-06-30,2,2.856949345981641,0.32928997750297495,2.593861143013876,1,1
2011-04-30,2011-07-31,3,2.9154440791947094,0.4122155834868496,2.684959573070178,1,1
2011-04-30,2011-10-31,6,3.0061269878226478,0.6002478708929231,2.954160481596535,1,1
2011-04-30,2012-04-30,12,3.069604043284855,0.8628547709767167,2.6009696811680083,1,1
2011-05-31,2011-06-30,1,2.6507844930862583,0.22329558457593557,2.593861143013876,1,1
2011-05-31,2011-07-31,2,2.6524117476345377,0.32766572708513425,2.684959573070178,1,1
2011-05-31,2011-08-31,3,2.655582912230815,0.4099893978076909,2.753747291211628,1,1
2011-05-31,2011-11-30,6,2.6698931591909254,0.596520056640494,2.9713191578955023,1,1
2011-05-31,2012-05-31,12,2.7050609136038175,0.8570330064176386,2.433443351247244,1,1
2011-06-30,2011-07-31,1,2.531832167928101,0.22280275635036512,2.684959573070178,1,1
2011-06-30,2011-08-31,2,2.4926016862702687,0.3269794896212061,2.753747291211628,1,1
2011-06-30,2011-09-30,3,2.4690348591314573,0.40910177919712637,2.8731837256162684,1,1
2011-06-30,2011-12-31,6,2.4465376962414442,0.5950633288600643,2.727659597539533,1,1
2011-06-30,2012-06-30,12,2.4663435643996383,0.8547406418486768,2.405633434117349,1,1
2011-07-31,2011-08-31,1,2.7368524460544026,0.2223424495292136,2.753747291211628,1,1
2011-07-31,2011-09-30,2,2.7722012109634635,0.3262370761527892,2.8731837256162684,1,1
2011-07-31,2011-10-31,3,2.797191816844083,0.4080573101140907,2.954160481596535,1,1
2011-07-31,2012-01-31,6,2.8408307727023603,0.5931880322005906,2.6688553923178704,1,1
