cutoff,target_time,horizon_step,prediction,h_step_sd,y_true,num_factors,num_lags
1999-11-30,1999-12-31,1,1.3191847418633942,0.33047723223062864,1.6680411237561366,3,1
1999-11-30,2000-01-31,2,1.313927495846355,0.4729160855449516,1.5854030553684062,3,1
1999-11-30,2000-02-29,3,1.2995935430184136,0.5818086964876966,1.6236983182304154,3,1
1999-11-30,2000-05-31,6,1.2490398001107077,0.8265223208007837,1.580529503071637,3,1
1999-11-30,2000-11-30,12,1.1454502285610504,1.1715031807295073,1.9125152331664896,3,1
1999-12-31,2000-01-31,1,1.672215195419278,0.3314580523808112,1.5854030553684062,3,1
1999-12-31,2000-02-29,2,1.675141934401305,0.47455776200013816,1.6236983182304154,3,1
1999-12-31,2000-03-31,3,1.6594341872451914,0.5839364693131955,1.4829300267657164,3,1
1999-12-31,2000-06-30,6,1.6145611501119923,0.8296994127961962,1.8391886388475556,3,1
1999-12-31,2000-12-31,12,1.522207212267042,1.176114462141326,1.4933702493997505,3,1
2000-01-31,2000-02-29,1,1.5963218184985477,0.3303366088288578,1.6236983182304154,3,1
2000-01-31,2000-03-31,2,1.5710717673399377,0.47316720706703885,1.4829300267657164,3,1
2000-01-31,2000-04-30,3,1.5567483207673438,0.582319146119154,1.402478195003254,3,1
2000-01-31,2000-07-31,6,1.50876463054175,0.8275338296569232,1.888825214899725,3,1
2000-01-31,2001-01-31,12,1.4144371639803701,1.1731373449766143,1.295473350601983,3,1
2000-02-29,2000-03-31,1,1.5830094437666804,0.3295436091802025,1.4829300267657164,3,1
2000-02-29,2000-04-30,2,1.5651352227868047,0.47214361966815893,1.402478195003254,3,1
2000-02-29,2000-05-31,3,1.5465802215394289,0.5811114135334816,1.580529503071637,3,1
2000-02-29,2000-08-31,6,1.4995947587282403,0.8258915116260636,1.1247378236676209,3,1
2000-02-29,2001-02-28,12,1.4068179507895722,1.1708609135723058,0.7797761829277938,3,1
2000-03-31,2000-04-30,1,1.4495846529163976,0.32874092463732824,1.402478195003254,3,1
2000-03-31,2000-05-31,2,1.4245625728471811,0.47102524226163506,1.580529503071637,3,1
2000-03-31,2000-06-30,3,1.4065956057256495,0.5797512463627785,1.8391886388475556,3,1
2000-03-31,2000-09-30,6,1.3575956149289063,0.8239818824633627,1.4399424109766024,3,1
2000-03-31,2001-03-31,12,1.2611743538159734,1.168170083960286,0.975860242603277,3,1
2000-04-30,2000-05-31,1,1.3852083929709893,0.32787755532317037,1.580529503071637,3,1
2000-04-30,2000-06-30,2,1.363885283084385,0.46982357648450257,1.8391886388475556,3,1
2000-04-30,2000-07-31,3,1.3470102597690863,0.5782879850851683,1.888825214899725,3,1
2000-04-30,2000-10-31,6,1.297463006807447,0.8219247894625633,1.3321928166966313,3,1
2000-04-30,2001-04-30,12,1.1991882877181714,1.1652695143308338,1.1665677138456454,3,1
2000-05-31,2000-06-30,1,1.5956739148704717,0.32762590239529693,1.8391886388475556,3,1
2000-05-31,2000-07-31,2,1.5958352762942363,0.4694896283532532,1.888825214899725,3,1
2000-05-31,2000-08-31,3,1.582591883187877,0.5778900768696691,1.1247378236676209,3,1
2000-05-31,2000-11-30,6,1.537793251287303,0.8213779307650083,1.9125152331664896,3,1
2000-05-31,2001-05-31,12,1.4451549315887693,1.1645072978673416,1.7656699441179755,3,1
2000-06-30,2000-07-31,1,1.8879842799964777,0.32801155805024335,1.888825214899725,3,1
2000-06-30,2000-08-31,2,1.8808613915294952,0.47007358880012556,1.1247378236676209,3,1
2000-06-30,2000-09-30,3,1.8686621406015822,0.57861726525357,1.4399424109766024,3,1
2000-06-30,2000-12-31,6,1.8265451414341953,0.8224220964502711,1.4933702493997505,3,1
2000-06-30,2001-06-30,12,1.741756290762595,1.1659949780826946,1.5804009271628283,3,1
2000-07-31,2000-08-31,1,1.9045729602795385,0.32720923194081086,1.1247378236676209,3,1
2000-07-31,2000-09-30,2,1.8956556093780672,0.4688944871914928,1.4399424109766024,3,1
2000-07-31,2000-10-31,3,1.8842012362368605,0.5771503266813979,1.3321928166966313,3,1
2000-07-31,2001-01-31,6,1.8432917534858901,0.8203146589789054,1.295473350601983,3,1
2000-07-31,2001-07-31,12,1.7603439548451454,1.1629914646198272,1.3515757491999958,3,1
2000-08-31,2000-09-30,1,0.9775489080707362,0.33060457395115794,1.4399424109766024,3,1
2000-08-31,2000-10-31,2,0.9182981857746115,0.4739107123648605,1.3321928166966313,3,1
2000-08-31,2000-11-30,3,0.8941769884233303,0.5833779054061848,1.9125152331664896,3,1
2000-08-31,2001-02-28,6,0.8387051016458379,0.8292375476777942,0.7797761829277938,3,1
2000-08-31,2001-08-31,12,0.7343643245190858,1.175691520006234,1.0507897840419167,3,1
2000-09-30,2000-10-31,1,1.425927708570907,0.3303471924527128,1.3321928166966313,3,1
2000-09-30,2000-11-30,2,1.418542098651459,0.4737643908941305,1.9125152331664896,3,1
2000-09-30,2000-12-31,3,1.3993177954353677,0.583317642099026,1.4933702493997505,3,1
2000-09-30,2001-03-31,6,1.3516086991221288,0.8293267557975862,0.975860242603277,3,1
2000-09-30,2001-09-30,12,1.256678491224281,1.1759405817326616,0.6750170998632177,3,1
2000-10-31,2000-11-30,1,1.3224230562771664,0.33004509001246457,1.9125152331664896,3,1
2000-10-31,2000-12-31,2,1.3067399257980206,0.47319482325483636,1.4933702493997505,3,1
2000-10-31,2001-01-31,3,1.292395676418566,0.582550841963597,1.295473350601983,3,1
2000-10-31,2001-04-30,6,1.2441497925811118,0.8281434680396215,1.1665677138456454,3,1
