cutoff,target_time,horizon_step,prediction,h_step_sd,y_true,num_factors,num_lags
1986-01-31,1986-02-28,1,4.036726549428376,0.34716499613164287,3.19849482596426,3,1
1986-01-31,1986-03-31,2,4.064850643503811,0.5056462495942006,2.153558052434445,3,1
1986-01-31,1986-04-30,3,4.081148200327356,0.6270781551269295,1.5887850467289688,3,1
1986-01-31,1986-07-31,6,4.112900037723378,0.8988573892642321,1.671309192200554,3,1
1986-01-31,1987-01-31,12,4.166411351315519,1.2799083895754608,1.364877161055511,3,1
1986-02-28,1986-03-31,1,2.8776489993701655,0.34908378859064026,2.153558052434445,3,1
1986-02-28,1986-04-30,2,2.7350370531117667,0.5086229581139756,1.5887850467289688,3,1
1986-02-28,1986-05-31,3,2.668094801155444,0.6308545999959337,1.679104477611948,3,1
1986-02-28,1986-08-31,6,2.615292824718966,0.9043356313550241,1.575532900834098,3,1
1986-02-28,1987-02-28,12,2.6361511700111335,1.2877103684278464,1.914311759343668,3,1
1986-03-31,1986-04-30,1,1.701011883495947,0.3513044529477452,1.5887850467289688,3,1
1986-03-31,1986-05-31,2,1.4918161171280457,0.512695678396683,1.679104477611948,3,1
1986-03-31,1986-06-30,3,1.3906939142493298,0.6363707681792083,1.7674418604651132,3,1
1986-03-31,1986-09-30,6,1.3027908878348062,0.9128905062774447,1.757631822386685,3,1
1986-03-31,1987-03-31,12,1.3012864471379544,1.300302239308306,2.8414298808432603,3,1
1986-04-30,1986-05-31,1,1.2907269964529964,0.3514294205592606,1.679104477611948,3,1
1986-04-30,1986-06-30,2,1.1387239301219592,0.5130330545070001,1.7674418604651132,3,1
1986-04-30,1986-07-31,3,1.0601067187560709,0.6368943525570265,1.671309192200554,3,1
1986-04-30,1986-10-31,6,0.985508595558656,0.9138114154119621,1.5668202764977046,3,1
1986-04-30,1987-04-30,12,0.9765025673870075,1.3017305692809995,3.679852805887762,3,1
1986-05-31,1986-06-30,1,1.6840666557076556,0.3513693611594818,1.7674418604651132,3,1
1986-05-31,1986-07-31,2,1.670596366677875,0.5128479533610347,1.671309192200554,3,1
1986-05-31,1986-08-31,3,1.657510966135139,0.6365965591208094,1.575532900834098,3,1
1986-05-31,1986-11-30,6,1.6401121926040152,0.9132705905936155,1.2844036697247765,3,1
1986-05-31,1987-05-31,12,1.6422272765722732,1.300881175793195,3.669724770642202,3,1
1986-06-30,1986-07-31,1,1.7842568329758388,0.35079508614490923,1.671309192200554,3,1
1986-06-30,1986-08-31,2,1.792219436599906,0.5120479443475789,1.575532900834098,3,1
1986-06-30,1986-09-30,3,1.7971023459239357,0.6356205304508628,1.757631822386685,3,1
1986-06-30,1986-12-31,6,1.804944829246995,0.9118864717579989,1.187214611872145,3,1
1986-06-30,1987-06-30,12,1.8152851322927117,1.2989161119020047,3.7477148080438782,3,1
1986-07-31,1986-08-31,1,1.5860636449053276,0.35026189496125026,1.575532900834098,3,1
1986-07-31,1986-09-30,2,1.5373762566961153,0.5112620483628484,1.757631822386685,3,1
1986-07-31,1986-10-31,3,1.511537078831711,0.634633293299462,1.5668202764977046,3,1
1986-07-31,1987-01-31,6,1.489083510968478,0.9104399774755348,1.364877161055511,3,1
1986-07-31,1987-07-31,12,1.4923222066507518,1.2968293146255452,3.926940639269394,3,1
1986-08-31,1986-09-30,1,1.5052853115332858,0.34964590599201467,1.757631822386685,3,1
1986-08-31,1986-10-31,2,1.4680492131729392,0.51038884659143,1.5668202764977046,3,1
1986-08-31,1986-11-30,3,1.4491754230381169,0.6335660420195709,1.2844036697247765,3,1
1986-08-31,1987-02-28,6,1.433545120734633,0.9089372298786781,1.914311759343668,3,1
1986-08-31,1987-08-31,12,1.4364502529492542,1.2947095096289576,4.2883211678832245,3,1
1986-09-30,1986-10-31,1,1.8206622484558703,0.349259400508153,1.5668202764977046,3,1
1986-09-30,1986-11-30,2,1.8442493451828705,0.5098362393214921,1.2844036697247765,3,1
1986-09-30,1986-12-31,3,1.8543731957658902,0.6328835731471274,1.187214611872145,3,1
1986-09-30,1987-03-31,6,1.865596027876412,0.9079567906103188,2.8414298808432603,3,1
1986-09-30,1987-09-30,12,1.876535220587315,1.2933090344957452,4.2727272727272725,3,1
1986-10-31,1986-11-30,1,1.471978314801552,0.3489216716798772,1.2844036697247765,3,1
1986-10-31,1986-12-31,2,1.4269308221278765,0.5093021017460052,1.187214611872145,3,1
1986-10-31,1987-01-31,3,1.4049942938073965,0.6321977638046085,1.364877161055511,3,1
1986-10-31,1987-04-30,6,1.3863252634153116,0.9069363809694285,3.679852805887762,3,1
1986-10-31,1987-10-31,12,1.3880888425367104,1.2918282630665319,4.355716878402904,3,1
1986-11-30,1986-12-31,1,1.1586777624052362,0.34852594664837533,1.187214611872145,3,1
1986-11-30,1987-01-31,2,1.1055882916884616,0.508811458320613,1.364877161055511,3,1
1986-11-30,1987-02-28,3,1.0818605024698242,0.631639850989546,1.914311759343668,3,1
1986-11-30,1987-05-31,6,1.0616305040312575,0.9062182387403313,3.669724770642202,3,1
1986-11-30,1987-11-30,12,1.0583921480561036,1.2908649589755432,4.528985507246386,3,1
1986-12-31,1987-01-31,1,1.1444451620937128,0.34828532031929266,1.364877161055511,3,1
1986-12-31,1987-02-28,2,1.1153282560510003,0.5083599064137339,1.914311759343668,3,1
1986-12-31,1987-03-31,3,1.096578700239465,0.6310238607904926,2.8414298808432603,3,1
1986-12-31,1987-06-30,6,1.0741784173160798,0.9052502755508061,3.7477148080438782,3,1
1986-12-31,1987-12-31,12,1.0679671431997215,1.2894267309035095,4.332129963898912,3,1
