date,hcpi_yoy_L0,irt3m_eacc_L0,irt6m_eacc_L0,ltirt_eacc_L0,ppicag_ea_L0,ppicog_ea_L0,ppindcog_ea_L0,ppidcog_ea_L0,ppiing_ea_L0,ppinrg_ea_L0,hicpnef_ea_L0,hicpg_ea_L0,hicpin_ea_L0,hicpsv_ea_L0,hicpng_ea_L0,curr_eacc_L0,m2_eacc_L0,m1_eacc_L0,oilpricex_L0,hcpi_yoy_L1,irt3m_eacc_L1,irt6m_eacc_L1,ltirt_eacc_L1,ppicag_ea_L1,ppicog_ea_L1,ppindcog_ea_L1,ppidcog_ea_L1,ppiing_ea_L1,ppinrg_ea_L1,hicpnef_ea_L1,hicpg_ea_L1,hicpin_ea_L1,hicpsv_ea_L1,hicpng_ea_L1,curr_eacc_L1,m2_eacc_L1,m1_eacc_L1,oilpricex_L1,hcpi_yoy_L2,hcpi_yoy_L3,hcpi_yoy_L4,hcpi_yoy_L5,hcpi_yoy_L6,hcpi_yoy_L7,hcpi_yoy_L8,hcpi_yoy_L9,hcpi_yoy_L10,hcpi_yoy_L11,hcpi_yoy_D1,irt3m_eacc_D1,irt6m_eacc_D1,ltirt_eacc_D1,ppicag_ea_D1,ppicog_ea_D1,ppindcog_ea_D1,ppidcog_ea_D1,ppiing_ea_D1,ppinrg_ea_D1,hicpnef_ea_D1,hicpg_ea_D1,hicpin_ea_D1,hicpsv_ea_D1,hicpng_ea_D1,curr_eacc_D1,m2_eacc_D1,m1_eacc_D1,oilpricex_D1,hcpi_yoy_D2,hcpi_yoy_D3,hcpi_yoy_D4,hcpi_yoy_D5,hcpi_yoy_D6,hcpi_yoy_D7,hcpi_yoy_D8,hcpi_yoy_D9,hcpi_yoy_D10,hcpi_yoy_D11,target_h1,target_h2,target_h3,target_h6,target_h12
2019-08-31,1.0936824694169456,-0.4077,-0.405,-0.03,99.28870078827448,98.45329842381202,98.75170400865689,96.5268789132378,91.82176900581328,83.27462956760935,104.16544,104.25893,102.65071,105.89748,107.2394511245762,1197869,12232907,8771506,54.81,1.1081275930239665,-0.3649,-0.3474,0.22,99.1468108721802,98.1814514349838,98.5436558183495,96.41260438218242,91.7732381185774,84.84104033755054,104.01227,104.2595,102.80417,105.66481,107.49145304143204,1193250,12138190,8688313,57.35,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,1.3847719083843524,1.2556502753770182,1.5512300442355187,1.9636215250254496,2.279389222599204,2.0984195911589287,-0.014445123607020882,-0.042800000000000005,-0.05760000000000004,-0.25,0.1418899160942857,0.2718469888282158,0.2080481903073803,0.11427453105537211,0.04853088723588428,-1.5664107699411858,0.15317000000000291,-5.699999999961847e-4,-0.1534599999999955,0.23266999999999882,-0.25200191685583206,4619,94717,83193,-2.539999999999999,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.05958647460062583,0.12912163300733415,-0.29557976885850046,-0.41239148078993093,-0.31576769757375445,0.18096963144027534,0.9026507996250376,0.7920026807984204,0.9096863003962952,1.211515585385703,-0.22580068079325333
2019-09-30,0.9026507996250376,-0.4176,-0.3939,-0.07,99.38413131516393,98.7870975227122,99.11664591907764,96.733376424632,91.87093807148683,82.94692479147935,104.286,104.32338,102.74318,106.01236,107.0421521460249,1204427,12268513,8808360,56.95,1.0936824694169456,-0.4077,-0.405,-0.03,99.28870078827448,98.45329842381202,98.75170400865689,96.5268789132378,91.82176900581328,83.27462956760935,104.16544,104.25893,102.65071,105.89748,107.2394511245762,1197869,12232907,8771506,54.81,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,1.3847719083843524,1.2556502753770182,1.5512300442355187,1.9636215250254496,2.279389222599204,-0.191031669791908,-0.00990000000000002,0.011100000000000054,-0.04000000000000001,0.09543052688944442,0.33379909890018666,0.36494191042075386,0.20649751139420403,0.049169065673552836,-0.32770477613000537,0.12055999999999756,0.06444999999999368,0.09246999999999161,0.11487999999999943,-0.19729897855130218,6558,35606,36854,2.1400000000000006,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.05958647460062583,0.12912163300733415,-0.29557976885850046,-0.41239148078993093,-0.31576769757375445,0.7920026807984204,0.9096863003962952,1.342818581084404,0.7930543265016965,-0.2999496213319297
2019-10-31,0.7920026807984204,-0.4129,-0.3616,0.02,98.73183181405568,98.91619525622824,99.2381093208698,96.73493723683252,91.7709246382514,81.84292174606676,104.39718,104.39094,102.84935,106.1965,106.13765686817332,1210525,12334635,8887124,53.96,0.9026507996250376,-0.4176,-0.3939,-0.07,99.38413131516393,98.7870975227122,99.11664591907764,96.733376424632,91.87093807148683,82.94692479147935,104.286,104.32338,102.74318,106.01236,107.0421521460249,1204427,12268513,8808360,56.95,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,1.3847719083843524,1.2556502753770182,1.5512300442355187,1.9636215250254496,-0.11064811882661718,0.0047000000000000375,0.032299999999999995,0.09000000000000001,-0.6522995011082457,0.12909773351603349,0.12146340179215542,0.0015608122005232872,-0.1000134332354321,-1.1040030454125827,0.1111800000000045,0.06756000000000029,0.10617000000000587,0.1841399999999993,-0.9044952778515807,6098,66122,78764,-2.990000000000002,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.05958647460062583,0.12912163300733415,-0.29557976885850046,-0.41239148078993093,0.9096863003962952,1.342818581084404,1.358378366375934,0.31675418359855545,-0.25677035975611995
2019-11-30,0.9096863003962952,-0.4013,-0.3374,0.17,99.09446990230744,99.18874911671188,99.58949237613326,96.80110776244544,91.67866755199746,82.6827392781531,104.45553,104.57478,102.92614,106.21972,106.2860985494313,1217816,12381853,8939511,57.03,0.7920026807984204,-0.4129,-0.3616,0.02,98.73183181405568,98.91619525622824,99.2381093208698,96.73493723683252,91.7709246382514,81.84292174606676,104.39718,104.39094,102.84935,106.1965,106.13765686817332,1210525,12334635,8887124,53.96,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,1.3847719083843524,1.2556502753770182,1.5512300442355187,0.11768361959787477,0.0116,0.0242,0.15000000000000002,0.3626380882517566,0.27255386048364016,0.3513830552634687,0.06617052561291814,-0.09225708625393736,0.8398175320863288,0.05834999999999013,0.18384000000000356,0.07679000000000258,0.02321999999999491,0.14844168125797808,7291,47218,52387,3.0700000000000003,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.05958647460062583,0.12912163300733415,-0.29557976885850046,1.342818581084404,1.358378366375934,1.211515585385703,0.065534352697183,-0.244662223770864
2019-12-31,1.342818581084404,-0.3947,-0.3356,0.23,99.29901013558252,99.53355233901138,99.9214188917433,96.92733963719522,91.8220296264258,82.43358170521604,104.58982,104.70978,103.03476,106.36998,107.639493824242,1224324,12380743,8950015,59.88,0.9096863003962952,-0.4013,-0.3374,0.17,99.09446990230744,99.18874911671188,99.58949237613326,96.80110776244544,91.67866755199746,82.6827392781531,104.45553,104.57478,102.92614,106.21972,106.2860985494313,1217816,12381853,8939511,57.03,0.7920026807984204,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,1.3847719083843524,1.2556502753770182,0.43313228068810883,0.006599999999999995,0.0017999999999999683,0.06,0.20454023327508253,0.3448032222995039,0.3319265156100357,0.12623187474977726,0.14336207442833881,-0.249157572937051,0.13429000000000713,0.1349999999999909,0.10862000000000194,0.15026000000000295,1.353395274810694,6508,-1110,10504,2.8500000000000014,0.11768361959787477,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.05958647460062583,0.12912163300733415,1.358378366375934,1.211515585385703,0.7930543265016965,0.23958182567056507,-0.25114299463740997
2020-01-31,1.358378366375934,-0.3911,-0.3301,0.18,99.09911334720668,99.476402304157,99.8633097095288,96.7932259682582,91.44928638373705,81.17408412949806,104.42269,104.76737,102.99844,106.31628,106.99269209187754,1229276,12418229,8990551,57.52,1.342818581084404,-0.3947,-0.3356,0.23,99.29901013558252,99.53355233901138,99.9214188917433,96.92733963719522,91.8220296264258,82.43358170521604,104.58982,104.70978,103.03476,106.36998,107.639493824242,1224324,12380743,8950015,59.88,0.9096863003962952,0.7920026807984204,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,1.3847719083843524,0.015559785291529904,0.003599999999999992,0.005500000000000005,-0.05000000000000002,-0.19989678837583824,-0.057150034854373644,-0.058109182214494126,-0.13411366893701882,-0.372743242688756,-1.2594975757179867,-0.16713000000000022,0.05759000000000469,-0.03632000000000346,-0.05369999999999209,-0.6468017323644517,4952,37486,40536,-2.3599999999999994,0.43313228068810883,0.11768361959787477,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.05958647460062583,1.211515585385703,0.7930543265016965,0.31675418359855545,0.3204772775317055,0.7325074258367037
2020-02-29,1.211515585385703,-0.4089,-0.3552,-0.01,99.44239890598791,99.6787208362036,100.10084125468538,96.9677733431591,91.26080442670832,79.91112782817316,104.55131,104.63985,102.64897,106.43163,105.5012287738488,1236396,12491659,9062379,50.54,1.358378366375934,-0.3911,-0.3301,0.18,99.09911334720668,99.476402304157,99.8633097095288,96.7932259682582,91.44928638373705,81.17408412949806,104.42269,104.76737,102.99844,106.31628,106.99269209187754,1229276,12418229,8990551,57.52,1.342818581084404,0.9096863003962952,0.7920026807984204,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,1.4443583829849782,-0.14686278099023098,-0.017799999999999983,-0.02510000000000001,-0.19,0.3432855587812327,0.2023185320465899,0.23753154515657116,0.17454737490089656,-0.18848195702872772,-1.2629563013248912,0.12861999999999796,-0.12752000000000407,-0.3494699999999966,0.11534999999999229,-1.4914633180287495,7120,73430,71828,-6.980000000000004,0.015559785291529904,0.43313228068810883,0.11768361959787477,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.1706612638039393,0.7930543265016965,0.31675418359855545,0.065534352697183,-0.22580068079325333,0.7869650279711315
2020-03-31,0.7930543265016965,-0.4166,-0.3649,0.17,99.12958801536004,99.04626305615824,99.4635082560658,96.91497822093366,90.61235418959892,75.26362668950297,104.63114,104.26012,101.92401,106.39372,101.289597457494,1263317,12790701,9355534,29.21,1.211515585385703,-0.4089,-0.3552,-0.01,99.44239890598791,99.6787208362036,100.10084125468538,96.9677733431591,91.26080442670832,79.91112782817316,104.55131,104.63985,102.64897,106.43163,105.5012287738488,1236396,12491659,9062379,50.54,1.358378366375934,1.342818581084404,0.9096863003962952,0.7920026807984204,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,1.6150196467889175,-0.4184612588840064,-0.00770000000000004,-0.009699999999999986,0.18000000000000002,-0.3128108906278726,-0.6324577800453568,-0.6373329986195841,-0.05279512222543303,-0.648450237109401,-4.647501138670194,0.07983000000000118,-0.379729999999995,-0.72496000000001,-0.03790999999999656,-4.211631316354797,26921,299042,293155,-21.33,-0.14686278099023098,0.015559785291529904,0.43313228068810883,0.11768361959787477,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,-0.33934560577772976,0.31675418359855545,0.065534352697183,0.23958182567056507,-0.2999496213319297,1.2551369368191123
2020-04-30,0.31675418359855545,-0.2541,-0.192,0.33,99.11981487868326,98.43428349950516,98.71962811910976,97.08193286361912,89.71719576448149,71.44950174708943,104.73429,103.70967,100.58832,106.59678,98.12312681664469,1275211,12979824,9532102,16.55,0.7930543265016965,-0.4166,-0.3649,0.17,99.12958801536004,99.04626305615824,99.4635082560658,96.91497822093366,90.61235418959892,75.26362668950297,104.63114,104.26012,101.92401,106.39372,101.289597457494,1263317,12790701,9355534,29.21,1.211515585385703,1.358378366375934,1.342818581084404,0.9096863003962952,0.7920026807984204,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,1.2756740410111878,-0.47630014290314104,0.16250000000000003,0.1729,0.16,-0.009773136676784588,-0.6119795566530826,-0.7438801369560366,0.1669546426854538,-0.8951584251174296,-3.8141249424135424,0.10314999999999941,-0.5504499999999979,-1.3356899999999996,0.20305999999999358,-3.1664706408493117,11894,189123,176568,-12.66,-0.4184612588840064,-0.14686278099023098,0.015559785291529904,0.43313228068810883,0.11768361959787477,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,-0.05554860591259225,0.065534352697183,0.23958182567056507,0.3204772775317055,-0.25677035975611995,1.6021927992195373
2020-05-31,0.065534352697183,-0.272,-0.1431,0.25,99.03735956745864,98.10986909888538,98.28461730560274,97.08694941468572,89.3019402782392,71.49523123837028,104.69557,103.43961,100.11119,106.57243,96.68413327656596,1291473,13141213,9653392,28.56,0.31675418359855545,-0.2541,-0.192,0.33,99.11981487868326,98.43428349950516,98.71962811910976,97.08193286361912,89.71719576448149,71.44950174708943,104.73429,103.70967,100.58832,106.59678,98.12312681664469,1275211,12979824,9532102,16.55,0.7930543265016965,1.211515585385703,1.358378366375934,1.342818581084404,0.9096863003962952,0.7920026807984204,0.9026507996250376,1.0936824694169456,1.1081275930239665,1.2201254350985955,-0.25121983090137245,-0.017900000000000027,0.0489,-0.08000000000000002,-0.08245531122462069,-0.3244144006197729,-0.4350108135070201,0.00501655106660337,-0.4152554862422875,0.04572949128085213,-0.03871999999999787,-0.27006000000000085,-0.4771300000000025,-0.024349999999998317,-1.4389935400787266,16262,161389,121290,12.009999999999998,-0.47630014290314104,-0.4184612588840064,-0.14686278099023098,0.015559785291529904,0.43313228068810883,0.11768361959787477,-0.11064811882661718,-0.191031669791908,-0.014445123607020882,-0.11199784207462904,0.23958182567056507,0.3204772775317055,-0.22580068079325333,-0.244662223770864,1.9602497050500656
