date,cpi_total_yoy_L0,cpi_goods_cat_goods_ind_L0,cpi_goods_cat_services_ind_L0,cpi_housing_energy_ind_L0,cpi_food_nonalcoholic_beverages_ind_L0,cpi_transport_ind_L0,cpi_health_ind_L0,cpi_clothing_footwear_ind_L0,cpi_alcoholic_beverages_tobacco_ind_L0,cpi_household_furniture_furnishings_routine_maintenance_ind_L0,cpi_restaurants_hotels_ind_L0,cpi_recreation_culture_ind_L0,cpi_communications_ind_L0,cpi_education_ind_L0,mon_stat_mon_agg_m0_total_chf_L0,ppi_total_base_month_december_2020_ind_L0,ipi_total_base_month_december_2020_ind_L0,oilpricex_L0,cpi_total_yoy_L1,cpi_goods_cat_goods_ind_L1,cpi_goods_cat_services_ind_L1,cpi_housing_energy_ind_L1,cpi_food_nonalcoholic_beverages_ind_L1,cpi_transport_ind_L1,cpi_health_ind_L1,cpi_clothing_footwear_ind_L1,cpi_alcoholic_beverages_tobacco_ind_L1,cpi_household_furniture_furnishings_routine_maintenance_ind_L1,cpi_restaurants_hotels_ind_L1,cpi_recreation_culture_ind_L1,cpi_communications_ind_L1,cpi_education_ind_L1,mon_stat_mon_agg_m0_total_chf_L1,ppi_total_base_month_december_2020_ind_L1,ipi_total_base_month_december_2020_ind_L1,oilpricex_L1,cpi_total_yoy_L2,cpi_total_yoy_L3,cpi_total_yoy_L4,cpi_total_yoy_L5,cpi_total_yoy_L6,cpi_total_yoy_L7,cpi_total_yoy_L8,cpi_total_yoy_L9,cpi_total_yoy_L10,cpi_total_yoy_L11,cpi_total_yoy_D1,cpi_goods_cat_goods_ind_D1,cpi_goods_cat_services_ind_D1,cpi_housing_energy_ind_D1,cpi_food_nonalcoholic_beverages_ind_D1,cpi_transport_ind_D1,cpi_health_ind_D1,cpi_clothing_footwear_ind_D1,cpi_alcoholic_beverages_tobacco_ind_D1,cpi_household_furniture_furnishings_routine_maintenance_ind_D1,cpi_restaurants_hotels_ind_D1,cpi_recreation_culture_ind_D1,cpi_communications_ind_D1,cpi_education_ind_D1,mon_stat_mon_agg_m0_total_chf_D1,ppi_total_base_month_december_2020_ind_D1,ipi_total_base_month_december_2020_ind_D1,oilpricex_D1,cpi_total_yoy_D2,cpi_total_yoy_D3,cpi_total_yoy_D4,cpi_total_yoy_D5,cpi_total_yoy_D6,cpi_total_yoy_D7,cpi_total_yoy_D8,cpi_total_yoy_D9,cpi_total_yoy_D10,cpi_total_yoy_D11,target_h1,target_h2,target_h3,target_h6,target_h12
1983-12-31,2.1363839705601073,85.0386,51.8479,49.6859,75.0767,67.6899,66.6634,74.3564,54.4664,84.3423,45.4589,85.4293,177.1931,39.5176,32940000000,94.0630142354065,128.599294793751,29.24,1.7867157181102211,84.9611,51.8378,49.7912,75.0432,67.5503,66.6017,73.8418,54.4664,84.1536,45.4589,85.4293,177.1931,39.5176,30066000000,93.6416267121723,127.993812620704,29.84,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,2.797085162561608,3.277625509303417,4.5235052725404845,4.783272929287596,4.768721860980585,4.79265656085035,0.3496682524498862,0.07750000000000057,0.01010000000000133,-0.10530000000000683,0.03350000000000364,0.1396000000000015,0.061700000000001864,0.5145999999999873,0,0.1886999999999972,0,0,0,0,2874000000,0.4213875232342019,0.6054821730469939,-0.6000000000000014,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,-0.5835583775156921,-0.48054034674180857,-1.2458797632370677,-0.2597676567471119,0.014551068307011583,-0.023934699869765375,2.656625495119247,2.8850394995407314,3.3568653687754857,2.790260149851065,2.9039227642905674
1984-01-31,2.656625495119247,85.3448,52.0336,49.8942,75.8433,67.6902,67.4549,74.3564,54.4664,84.3423,45.4589,85.4674,177.1931,39.5176,31552000000,94.1682849801894,129.447051409903,29.69,2.1363839705601073,85.0386,51.8479,49.6859,75.0767,67.6899,66.6634,74.3564,54.4664,84.3423,45.4589,85.4293,177.1931,39.5176,32940000000,94.0630142354065,128.599294793751,29.24,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,2.797085162561608,3.277625509303417,4.5235052725404845,4.783272929287596,4.768721860980585,0.5202415245591396,0.306200000000004,0.1856999999999971,0.20830000000000126,0.7665999999999968,3.0000000000995897e-4,0.7914999999999992,0,0,0,0,0.03810000000000002,0,0,-1388000000,0.10527074478289933,0.8477566161519974,0.45000000000000284,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,-0.5835583775156921,-0.48054034674180857,-1.2458797632370677,-0.2597676567471119,0.014551068307011583,2.8850394995407314,3.3568653687754857,3.1864306534094,2.808724453310263,3.5379915397866
1984-02-29,2.8850394995407314,85.5645,52.2758,49.9042,76.3986,67.4527,67.4549,74.3564,54.1959,84.3423,46.4211,85.9858,177.1931,39.7502,30178000000,95.0109585119569,129.447051409903,30.145,2.656625495119247,85.3448,52.0336,49.8942,75.8433,67.6902,67.4549,74.3564,54.4664,84.3423,45.4589,85.4674,177.1931,39.5176,31552000000,94.1682849801894,129.447051409903,29.69,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,2.797085162561608,3.277625509303417,4.5235052725404845,4.783272929287596,0.2284140044214844,0.2196999999999889,0.24219999999999686,0.010000000000005116,0.5553000000000026,-0.23750000000001137,0,0,-0.2704999999999984,0,0.9622000000000028,0.5183999999999997,0,0.23259999999999792,-1374000000,0.8426735317675025,0,0.4549999999999983,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,-0.5835583775156921,-0.48054034674180857,-1.2458797632370677,-0.2597676567471119,3.3568653687754857,3.1864306534094,2.8838295571705252,2.896431347585837,4.007142110794915
1984-03-31,3.3568653687754857,86.0822,52.6396,49.8766,77.4933,67.3939,67.4854,75.0445,54.1959,84.7263,46.4211,85.9858,208.1664,39.7502,30812000000,95.1163307714407,130.778949042832,30.761,2.8850394995407314,85.5645,52.2758,49.9042,76.3986,67.4527,67.4549,74.3564,54.1959,84.3423,46.4211,85.9858,177.1931,39.7502,30178000000,95.0109585119569,129.447051409903,30.145,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,2.797085162561608,3.277625509303417,4.5235052725404845,0.47182586923475434,0.5177000000000049,0.3638000000000048,-0.027599999999999625,1.0947000000000031,-0.05879999999999086,0.030500000000003524,0.6881000000000057,0,0.38400000000000034,0,0,30.973300000000023,0,634000000,0.10537225948380069,1.3318976329290138,0.6159999999999997,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,-0.5835583775156921,-0.48054034674180857,-1.2458797632370677,3.1864306534094,2.8838295571705252,2.790260149851065,2.7061688590633404,3.9099569478794782
1984-04-30,3.1864306534094,86.2994,52.6614,49.8787,78.1005,67.3852,67.5278,75.0445,54.1959,84.7263,46.4211,85.9858,208.1664,39.7502,30964000000,95.1163307714407,131.384431215879,30.618,3.3568653687754857,86.0822,52.6396,49.8766,77.4933,67.3939,67.4854,75.0445,54.1959,84.7263,46.4211,85.9858,208.1664,39.7502,30812000000,95.1163307714407,130.778949042832,30.761,2.8850394995407314,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,2.797085162561608,3.277625509303417,-0.17043471536608568,0.2172000000000054,0.02179999999999893,0.0020999999999986585,0.6071999999999917,-0.008700000000004593,0.04240000000000066,0,0,0,0,0,0,0,152000000,0,0.6054821730469939,-0.14300000000000068,0.47182586923475434,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,-0.5835583775156921,-0.48054034674180857,2.8838295571705252,2.790260149851065,2.808724453310263,3.1087735702041375,3.6307287982633607
1984-05-31,2.8838295571705252,86.1533,52.5314,50.2865,77.7144,67.4129,67.5278,75.0445,55.0216,84.7263,46.5707,83.4043,208.1664,39.8451,30082000000,95.2217030309244,132.232187832031,30.52,3.1864306534094,86.2994,52.6614,49.8787,78.1005,67.3852,67.5278,75.0445,54.1959,84.7263,46.4211,85.9858,208.1664,39.7502,30964000000,95.1163307714407,131.384431215879,30.618,3.3568653687754857,2.8850394995407314,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,2.797085162561608,-0.30260109623887477,-0.14610000000000412,-0.13000000000000256,0.4077999999999946,-0.386099999999999,0.02769999999999584,0,0,0.8256999999999977,0,0.1495999999999995,-2.5814999999999912,0,0.09490000000000265,-882000000,0.10537225948370121,0.8477566161519974,-0.09799999999999898,-0.17043471536608568,0.47182586923475434,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,-0.5835583775156921,2.790260149851065,2.808724453310263,2.896431347585837,2.9944283223334756,3.7743977049315536
1984-06-30,2.790260149851065,86.6926,52.5394,50.3891,78.4681,67.6219,67.5677,75.5367,55.0216,84.901,46.5707,83.4043,208.1664,39.8451,30669000000,95.4323460351911,131.747740913179,29.967,2.8838295571705252,86.1533,52.5314,50.2865,77.7144,67.4129,67.5278,75.0445,55.0216,84.7263,46.5707,83.4043,208.1664,39.8451,30082000000,95.2217030309244,132.232187832031,30.52,3.1864306534094,3.3568653687754857,2.8850394995407314,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,2.213526785045916,-0.0935694073194604,0.5392999999999972,0.008000000000002672,0.10260000000000247,0.7537000000000091,0.20900000000000318,0.03990000000000293,0.49219999999999686,0,0.1747000000000014,0,0,0,0,587000000,0.21064300426670002,-0.48444691885200086,-0.5530000000000008,-0.30260109623887477,-0.17043471536608568,0.47182586923475434,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,-0.5004820595783777,2.808724453310263,2.896431347585837,2.7061688590633404,2.9039227642905674,3.390444750338051
1984-07-31,2.808724453310263,86.2698,52.6123,50.3444,77.6192,67.5279,68.2575,75.5367,55.0216,84.901,46.5707,83.4063,208.1664,39.8451,30766000000,95.2217030309244,132.353223086226,28.752,2.790260149851065,86.6926,52.5394,50.3891,78.4681,67.6219,67.5677,75.5367,55.0216,84.901,46.5707,83.4043,208.1664,39.8451,30669000000,95.4323460351911,131.747740913179,29.967,2.8838295571705252,3.1864306534094,3.3568653687754857,2.8850394995407314,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,1.7130447254675385,0.018464303459198028,-0.4227999999999952,0.07289999999999708,-0.04469999999999885,-0.8489000000000004,-0.09399999999999409,0.6897999999999911,0,0,0,0,0.001999999999995339,0,0,97000000,-0.21064300426670002,0.6054821730469939,-1.2149999999999999,-0.0935694073194604,-0.30260109623887477,-0.17043471536608568,0.47182586923475434,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,-0.2654385861035502,2.896431347585837,2.7061688590633404,3.1087735702041375,3.5379915397866,3.352522858110407
1984-08-31,2.896431347585837,86.0421,53.1274,50.3341,77.1398,67.5287,68.2575,75.5367,54.9006,84.901,46.502,86.7771,208.1664,40.0095,30680000000,95.6429890394577,132.595497529331,29.25,2.808724453310263,86.2698,52.6123,50.3444,77.6192,67.5279,68.2575,75.5367,55.0216,84.901,46.5707,83.4063,208.1664,39.8451,30766000000,95.2217030309244,132.353223086226,28.752,2.790260149851065,2.8838295571705252,3.1864306534094,3.3568653687754857,2.8850394995407314,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,1.4476061393639883,0.08770689427557432,-0.22769999999999868,0.5151000000000039,-0.010300000000000864,-0.4794000000000125,7.999999999981355e-4,0,0,-0.12100000000000222,0,-0.06869999999999976,3.3708000000000027,0,0.16440000000000055,-86000000,0.42128600853330056,0.24227444310500346,0.4980000000000011,0.018464303459198028,-0.0935694073194604,-0.30260109623887477,-0.17043471536608568,0.47182586923475434,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,-0.022370573445784636,2.7061688590633404,3.1087735702041375,2.9944283223334756,4.007142110794915,2.9649243340852394
1984-09-30,2.7061688590633404,85.8975,53.1516,50.5042,76.0686,67.5757,68.2592,76.408,54.9006,85.1115,46.502,86.7771,208.1664,40.0095,30840000000,95.7483612989415,134.532877335307,29.311,2.896431347585837,86.0421,53.1274,50.3341,77.1398,67.5287,68.2575,75.5367,54.9006,84.901,46.502,86.7771,208.1664,40.0095,30680000000,95.6429890394577,132.595497529331,29.25,2.808724453310263,2.790260149851065,2.8838295571705252,3.1864306534094,3.3568653687754857,2.8850394995407314,2.656625495119247,2.1363839705601073,1.7867157181102211,1.4252355659182037,-0.19026248852249683,-0.14460000000001116,0.024200000000000443,0.17009999999999792,-1.0711999999999904,0.046999999999997044,0.0017000000000138016,0.8713000000000051,0,0.21050000000001035,0,0,0,0,160000000,0.10537225948380069,1.9373798059760077,0.06099999999999994,0.08770689427557432,0.018464303459198028,-0.0935694073194604,-0.30260109623887477,-0.17043471536608568,0.47182586923475434,0.2284140044214844,0.5202415245591396,0.3496682524498862,0.36148015219201746,3.1087735702041375,2.9944283223334756,2.9039227642905674,3.9099569478794782,3.3454450327076835
