cutoff,target_time,horizon_step,prediction,y_true,squared_residual,sigma_hat,h_step_sd
1969-09-30,1970-03-31,6,5.698005698005693,6.094182825484751,0.15695631633755794,0.5850965438209896,0.5850965438209896
1969-09-30,1970-09-30,12,5.698005698005693,5.660377358490565,0.001415891934665727,0.9268489236379504,0.9268489236379504
1969-10-31,1969-11-30,1,5.665722379603411,5.932203389830515,0.07101212881165804,0.23952904896077956,0.23952904896077956
1969-10-31,1969-12-31,2,5.665722379603411,5.89887640449438,0.05436079932285866,0.352751206805389,0.352751206805389
1969-10-31,1970-01-31,3,5.665722379603411,6.162464985994376,0.24675321700408942,0.44816951273366074,0.44816951273366074
1969-10-31,1970-04-30,6,5.665722379603411,6.060606060606077,0.15593312152221592,0.583729259096447,0.583729259096447
1969-10-31,1970-10-31,12,5.665722379603411,5.630026809651478,0.0012741737141932956,0.9228518510646008,0.9228518510646008
1969-11-30,1969-12-31,1,5.932203389830515,5.89887640449438,0.0011106879515949636,0.2397722441960019,0.2397722441960019
1969-11-30,1970-01-31,2,5.932203389830515,6.162464985994376,0.053020402667929005,0.3519012683508452,0.3519012683508452
1969-11-30,1970-02-28,3,5.932203389830515,6.424581005586605,0.24243571649765178,0.4486069513514601,0.4486069513514601
1969-11-30,1970-05-31,6,5.932203389830515,6.043956043956045,0.012488655704100297,0.5823747103499389,0.5823747103499389
1969-11-30,1970-11-30,12,5.932203389830515,5.600000000000005,0.11035909221488173,0.9189055023319489,0.9189055023319489
1969-12-31,1970-01-31,1,5.89887640449438,6.162464985994376,0.06947894029718008,0.2387738095520829,0.2387738095520829
1969-12-31,1970-02-28,2,5.89887640449438,6.424581005586605,0.27636532760953547,0.3510475511599768,0.3510475511599768
1969-12-31,1970-03-31,3,5.89887640449438,6.094182825484751,0.03814459808006802,0.44899581688245477,0.44899581688245477
1969-12-31,1970-06-30,6,5.89887640449438,6.010928961748618,0.012555775587214412,0.5799930167358652,0.5799930167358652
1969-12-31,1970-12-31,12,5.89887640449438,5.570291777188308,0.10796785730187036,0.915514469571936,0.915514469571936
1970-01-31,1970-02-28,1,6.162464985994376,6.424581005586605,0.06870480772687376,0.23899307207361437,0.23899307207361437
1970-01-31,1970-03-31,2,6.162464985994376,6.094182825484751,0.004662453443862205,0.3528756124111254,0.3528756124111254
1970-01-31,1970-04-30,3,6.162464985994376,6.060606060606077,0.010375240681258948,0.44746362079514745,0.44746362079514745
1970-01-31,1970-07-31,6,6.162464985994376,5.706521739130444,0.20788424436082398,0.5776422660237321,0.5776422660237321
1970-01-31,1971-01-31,12,6.162464985994376,5.277044854881274,0.783968808580342,0.9121571240182894,0.9121571240182894
1970-02-28,1970-03-31,1,6.424581005586605,6.094182825484751,0.10916295741461719,0.23919499958419121,0.23919499958419121
1970-02-28,1970-04-30,2,6.424581005586605,6.060606060606077,0.13247776057357796,0.35145750093660627,0.35145750093660627
1970-02-28,1970-05-31,3,6.424581005586605,6.043956043956045,0.1448753614162654,0.445692294647314,0.445692294647314
1970-02-28,1970-08-31,6,6.424581005586605,5.691056910569103,0.5380575979712445,0.5767342264604183,0.5767342264604183
1970-02-28,1971-02-28,12,6.424581005586605,4.724409448818889,2.8905833224419575,0.9119375547762808,0.9119375547762808
1970-03-31,1970-04-30,1,6.094182825484751,6.060606060606077,0.0011273991397177114,0.24009076617916586,0.24009076617916586
1970-03-31,1970-05-31,2,6.094182825484751,6.043956043956045,0.0025227295827323698,0.3515627773469746,0.3515627773469746
1970-03-31,1970-06-30,3,6.094182825484751,6.010928961748618,0.006931205826994504,0.4451935222473838,0.4451935222473838
1970-03-31,1970-09-30,6,6.094182825484751,5.660377358490565,0.1881871831940438,0.5782042716800714,0.5782042716800714
1970-03-31,1971-03-31,12,6.094182825484751,4.438642297650142,2.740814439302896,0.9212199770489536,0.9212199770489536
1970-04-30,1970-05-31,1,6.060606060606077,6.043956043956045,0.00027722305444636744,0.2391240863090714,0.2391240863090714
1970-04-30,1970-06-30,2,6.060606060606077,6.010928961748618,0.002467814150893762,0.3501485104819034,0.3501485104819034
1970-04-30,1970-07-31,3,6.060606060606077,5.706521739130444,0.12537570671485945,0.4434292701302112,0.4434292701302112
1970-04-30,1970-10-31,6,6.060606060606077,5.630026809651478,0.18539849135262368,0.5771675392306652,0.5771675392306652
1970-04-30,1971-04-30,12,6.060606060606077,4.155844155844157,3.6281179138322583,0.9295998179152583,0.9295998179152583
1970-05-31,1970-06-30,1,6.043956043956045,6.010928961748618,0.0010907881591360974,0.2381547853358442,0.2381547853358442
1970-05-31,1970-07-31,2,6.043956043956045,5.706521739130444,0.11386191007313616,0.3487510037291819,0.3487510037291819
1970-05-31,1970-08-31,3,6.043956043956045,5.691056910569103,0.12453779834525422,0.4427755846166951,0.4427755846166951
1970-05-31,1970-11-30,6,6.043956043956045,5.600000000000005,0.19709696896509707,0.5761261677893046,0.5761261677893046
1970-05-31,1971-05-31,12,6.043956043956045,4.404145077720201,2.6889800049873323,0.941608760574883,0.941608760574883
1970-06-30,1970-07-31,1,6.010928961748618,5.706521739130444,0.09266375718211053,0.2372110824482522,0.2372110824482522
1970-06-30,1970-08-31,2,6.010928961748618,5.691056910569103,0.10231812912579026,0.34866120918650284,0.34866120918650284
1970-06-30,1970-09-30,3,6.010928961748618,5.660377358490565,0.1228864265467918,0.44212385738415155,0.44212385738415155
1970-06-30,1970-12-31,6,6.010928961748618,5.570291777188308,0.19416112841723737,0.5751817692918745,0.5751817692918745
1970-06-30,1971-06-30,12,6.010928961748618,4.381443298969079,2.6552235252040752,0.9492956138119596,0.9492956138119596
1970-07-31,1970-08-31,1,5.706521739130444,5.691056910569103,0.00023916092243166882,0.23782399986678848,0.23782399986678848
1970-07-31,1970-09-30,2,5.706521739130444,5.660377358490565,0.0021293038646380933,0.3484403345109022,0.3484403345109022
1970-07-31,1970-10-31,3,5.706521739130444,5.630026809651478,0.005851474235991994,0.44146665631559306,0.44146665631559306
1970-07-31,1971-01-31,6,5.706521739130444,5.277044854881274,0.18445039410437503,0.5742305148729586,0.5742305148729586
1970-07-31,1971-07-31,12,5.706521739130444,4.370179948586128,1.7858093811551892,0.9566580649871911,0.9566580649871911
1970-08-31,1970-09-30,1,5.691056910569103,5.660377358490565,0.0009412349157397598,0.2368823803139274,0.2368823803139274
1970-08-31,1970-10-31,2,5.691056910569103,5.630026809651478,0.0037246732180154997,0.3470792261590104,0.3470792261590104
1970-08-31,1970-11-30,3,5.691056910569103,5.600000000000005,0.00829136096238878,0.43976411925901443,0.43976411925901443
1970-08-31,1971-02-28,6,5.691056910569103,4.724409448818889,0.9344073153081316,0.5732255984084559,0.5732255984084559
1970-08-31,1971-08-31,12,5.691056910569103,4.358974358974366,1.774443924263147,0.9602626172054498,0.9602626172054498
1970-09-30,1970-10-31,1,5.660377358490565,5.630026809651478,0.0009211558148337749,0.23596363425805109,0.23596363425805109
1970-09-30,1970-11-30,2,5.660377358490565,5.600000000000005,0.0036454254182975744,0.3457524866410012,0.3457524866410012
1970-09-30,1970-12-31,3,5.660377358490565,5.570291777188308,0.008115411958565591,0.4381038592123436,0.4381038592123436
1970-09-30,1971-03-31,6,5.660377358490565,4.438642297650142,1.4926365588867525,0.5773714755289625,0.5773714755289625
1970-09-30,1971-09-30,12,5.660377358490565,4.081632653061207,2.49243484492123,0.9637508130598934,0.9637508130598934
1970-10-31,1970-11-30,1,5.630026809651478,5.600000000000005,0.0009016092978458106,0.23505540264034,0.23505540264034
1970-10-31,1970-12-31,2,5.630026809651478,5.570291777188308,0.003568274103376056,0.34444058746755896,0.34444058746755896
1970-10-31,1971-01-31,3,5.630026809651478,5.277044854881274,0.12459626039339435,0.4364617978608431,0.4364617978608431
1970-10-31,1971-04-30,6,5.630026809651478,4.155844155844157,2.1732144967863958,0.5851621022384734,0.5851621022384734
1970-10-31,1971-10-31,12,5.630026809651478,3.8071065989847774,3.323038094457129,0.970067732064482,0.970067732064482
1970-11-30,1970-12-31,1,5.600000000000005,5.570291777188308,0.0008825785026294567,0.2341574873374892,0.2341574873374892
1970-11-30,1971-01-31,2,5.600000000000005,5.277044854881274,0.1043000257586604,0.34314325681355373,0.34314325681355373
1970-11-30,1971-02-28,3,5.600000000000005,4.724409448818889,0.7666588133176501,0.43587616109278693,0.43587616109278693
1970-11-30,1971-05-31,6,5.600000000000005,4.404145077720201,1.4300689951408367,0.5971657495973778,0.5971657495973778
1970-11-30,1971-11-30,12,5.600000000000005,3.535353535353525,4.2627650239772095,0.9795389593730619,0.9795389593730619
1970-12-31,1971-01-31,1,5.570291777188308,5.277044854881274,0.08599375744254723,0.23326969540943304,0.23326969540943304
1970-12-31,1971-02-28,2,5.570291777188308,4.724409448818889,0.7155169134476684,0.3429924987026984,0.3429924987026984
1970-12-31,1971-03-31,3,5.570291777188308,4.438642297650142,1.2806305445390018,0.4409353205723971,0.4409353205723971
1970-12-31,1971-06-30,6,5.570291777188308,4.381443298969079,1.413360704164176,0.6040400094150309,0.6040400094150309
