cutoff,target_time,horizon_step,prediction,y_true,squared_residual,sigma_hat,h_step_sd
1961-09-30,1961-10-31,1,1.3704074246451756,0.7731092436974896,0.35676511696341473,,
1961-09-30,1961-11-30,2,1.3704074246451756,0.671591672263272,0.48834345577708604,,
1961-09-30,1961-12-31,3,1.3704074246451756,0.6709158000671067,0.48928853285486607,,
1961-09-30,1962-03-31,6,1.3704074246451756,1.1058981233244003,0.06996517048520472,,
1961-09-30,1962-09-30,12,1.3704074246451756,1.4676450967311627,0.009455164872701956,,
1961-10-31,1961-11-30,1,1.3708387471077863,0.671591672263272,0.48894647167860983,,
1961-10-31,1961-12-31,2,1.3708387471077863,0.6709158000671067,0.48989213179410995,,
1961-10-31,1962-01-31,3,1.3708387471077863,0.6702412868632601,0.4908368013010804,,
1961-10-31,1962-04-30,6,1.3708387471077863,1.3418316001341912,0.000841414575547746,,
1961-10-31,1962-10-31,12,1.3708387471077863,1.33422281521014,0.0013407264687330662,,
1961-11-30,1961-12-31,1,1.3388045541202473,0.6709158000671067,0.4460753877906566,,
1961-11-30,1962-01-31,2,1.3388045541202473,0.6702412868632601,0.44697684232533774,,
1961-11-30,1962-02-28,3,1.3388045541202473,0.9048257372654244,0.18833761347871197,,
1961-11-30,1962-05-31,6,1.3388045541202473,1.3404825737265424,2.8157497991107634e-06,,
1961-11-30,1962-11-30,12,1.3388045541202473,1.33422281521014,2.0992331440390946e-05,,
1961-12-31,1962-01-31,1,1.2964435094973046,0.6702412868632601,0.3921292236318174,,
1961-12-31,1962-02-28,2,1.2964435094973046,0.9048257372654244,0.1533644795278608,,
1961-12-31,1962-03-31,3,1.2964435094973046,1.1058981233244003,0.03630754419178123,,
1961-12-31,1962-06-30,6,1.2964435094973046,1.2399463806970434,0.0031919255626732972,,
1961-12-31,1962-12-31,12,1.2964435094973046,1.2329223592135952,0.004034936533365597,,
1962-01-31,1962-02-28,1,1.2333709420127383,0.9048257372654244,0.10794195156245445,,
1962-01-31,1962-03-31,2,1.2333709420127383,1.1058981233244003,0.016249319504349904,,
1962-01-31,1962-04-30,3,1.2333709420127383,1.3418316001341912,0.011763714360138684,,
1962-01-31,1962-07-31,6,1.2333709420127383,1.0026737967914423,0.05322117281325575,,
1962-01-31,1963-01-31,12,1.2333709420127383,1.331557922769644,0.009640683190156945,,
1962-02-28,1962-03-31,1,1.1756295628297297,1.1058981233244003,0.004862473655485421,,
1962-02-28,1962-04-30,2,1.1756295628297297,1.3418316001341912,0.027623117204153606,,
1962-02-28,1962-05-31,3,1.1756295628297297,1.3404825737265424,0.027176515201744647,,
1962-02-28,1962-08-31,6,1.1756295628297297,1.135604542418167,0.0016020022589460059,,
1962-02-28,1963-02-28,12,1.1756295628297297,1.2288276320159497,0.002830034565141844,,
1962-03-31,1962-04-30,1,1.134989709191455,1.3418316001341912,0.04278356784876682,,
1962-03-31,1962-05-31,2,1.134989709191455,1.3404825737265424,0.042227317374835836,,
1962-03-31,1962-06-30,3,1.134989709191455,1.2399463806970434,0.011015902893532017,,
1962-03-31,1962-09-30,6,1.134989709191455,1.4676450967311627,0.11065960685919318,,
1962-03-31,1963-03-31,12,1.134989709191455,1.1269472986410234,6.468036746169245e-05,,
1962-04-30,1962-05-31,1,1.1216739807093044,1.3404825737265424,0.047877200378183334,,
1962-04-30,1962-06-30,2,1.1216739807093044,1.2399463806970434,0.013988360598859745,,
1962-04-30,1962-07-31,3,1.1216739807093044,1.0026737967914423,0.014161043772484993,,
1962-04-30,1962-10-31,6,1.1216739807093044,1.33422281521014,0.045177007047663656,,
1962-04-30,1963-04-30,12,1.1216739807093044,0.893743793445867,0.05195217026594563,,
1962-05-31,1962-06-30,1,1.1150849575631694,1.2399463806970434,0.015590374987016337,,
1962-05-31,1962-07-31,2,1.1150849575631694,1.0026737967914423,0.012636269066047073,,
1962-05-31,1962-08-31,3,1.1150849575631694,1.135604542418167,0.00042105336262145176,,
1962-05-31,1962-11-30,6,1.1150849575631694,1.33422281521014,0.04802140065410399,,
1962-05-31,1963-05-31,12,1.1150849575631694,0.8928571428571619,0.0493852016290076,,
1962-06-30,1962-07-31,1,1.1205706247110347,1.0026737967914423,0.013899662033501991,,
1962-06-30,1962-08-31,2,1.1205706247110347,1.135604542418167,0.00022601868162482793,,
1962-06-30,1962-09-30,3,1.1205706247110347,1.4676450967311627,0.1204606891280506,,
1962-06-30,1962-12-31,6,1.1205706247110347,1.2329223592135952,0.012622912245733826,,
1962-06-30,1963-06-30,12,1.1205706247110347,1.3240648791790657,0.041409911601499726,,
1962-07-31,1962-08-31,1,1.1144248432348138,1.135604542418167,0.00044857965749733533,,
1962-07-31,1962-09-30,2,1.1144248432348138,1.4676450967311627,0.12476454748002497,,
1962-07-31,1962-10-31,3,1.1144248432348138,1.33422281521014,0.0483111484844663,,
1962-07-31,1963-01-31,6,1.1144248432348138,1.331557922769644,0.04714677422827884,,
1962-07-31,1963-07-31,12,1.1144248432348138,1.5552614162806178,0.19433688413476843,,
1962-08-31,1962-09-30,1,1.0913047000249823,1.4676450967311627,0.1416320941929653,,
1962-08-31,1962-10-31,2,1.0913047000249823,1.33422281521014,0.05900921068510961,,
1962-08-31,1962-11-30,3,1.0913047000249823,1.33422281521014,0.05900921068510961,,
1962-08-31,1963-02-28,6,1.0913047000249823,1.2288276320159497,0.018912556823392254,,
1962-08-31,1963-08-31,12,1.0913047000249823,1.5521796565389767,0.21240572554177628,,
1962-09-30,1962-10-31,1,1.0800808469010759,1.33422281521014,0.0645881400560054,,
