cutoff,target_time,horizon_step,prediction,y_true,squared_residual,sigma_hat,h_step_sd
1984-09-30,1984-10-31,1,2.9564793362376287,3.108773570204137,0.023193533699445577,,
1984-09-30,1984-11-30,2,2.9564793362376287,2.994428322333476,0.001440125545702811,,
1984-09-30,1984-12-31,3,2.9564793362376287,2.9039227642905674,0.0027621932548266325,,
1984-09-30,1985-03-31,6,2.9564793362376287,3.9099569478794782,0.9091195559022456,,
1984-09-30,1985-09-30,12,2.9564793362376287,3.3454450327076835,0.15129431303043475,,
1984-10-31,1984-11-30,1,2.852154951148278,2.994428322333476,0.02024171214840113,,
1984-10-31,1984-12-31,2,2.852154951148278,2.9039227642905674,0.002679906477534991,,
1984-10-31,1985-01-31,3,2.852154951148278,3.5379915397866,0.4703718263150512,,
1984-10-31,1985-04-30,6,2.852154951148278,3.6307287982633607,0.6061772354115802,,
1984-10-31,1985-10-31,12,2.852154951148278,2.9515649536234534,0.00988234859211438,,
1984-11-30,1984-12-31,1,2.769157536609456,2.9039227642905674,0.018161666591941832,,
1984-11-30,1985-01-31,2,2.769157536609456,3.5379915397866,0.5911057244413932,,
1984-11-30,1985-02-28,3,2.769157536609456,4.007142110794915,1.5326058059211516,,
1984-11-30,1985-05-31,6,2.769157536609456,3.7743977049315536,1.0105077960082394,,
1984-11-30,1985-11-30,12,2.769157536609456,3.1411676086260387,0.13839149368178316,,
1984-12-31,1985-01-31,1,2.6797153062617496,3.5379915397866,0.736638093033604,,
1984-12-31,1985-02-28,2,2.6797153062617496,4.007142110794915,1.7620619213931294,,
1984-12-31,1985-03-31,3,2.6797153062617496,3.9099569478794782,1.513494496770284,,
1984-12-31,1985-06-30,6,2.6797153062617496,3.390444750338051,0.5051363426770082,,
1984-12-31,1985-12-31,12,2.6797153062617496,3.2381344856058814,0.3118319798593736,,
1985-01-31,1985-02-28,1,2.5987361808492535,4.007142110794915,1.9836072635061024,,
1985-01-31,1985-03-31,2,2.5987361808492535,3.9099569478794782,1.719299899891331,,
1985-01-31,1985-04-30,3,2.5987361808492535,3.6307287982633607,1.0650087623972198,,
1985-01-31,1985-07-31,6,2.5987361808492535,3.352522858110407,0.5681943548164107,,
1985-01-31,1986-01-31,12,2.5987361808492535,2.195150650368105,0.16288128041375,,
1985-02-28,1985-03-31,1,2.611754482373413,3.9099569478794782,1.6853296414460261,,
1985-02-28,1985-04-30,2,2.611754482373413,3.6307287982633607,1.0383086564433868,,
1985-02-28,1985-05-31,3,2.611754482373413,3.7743977049315536,1.3517392629603777,,
1985-02-28,1985-08-31,6,2.611754482373413,2.96492433408524,0.12472894415815365,,
1985-02-28,1986-02-28,12,2.611754482373413,1.343249624002385,1.6091045757109022,,
1985-03-31,1985-04-30,1,2.6722573297850785,3.6307287982633607,0.9186675558869147,,
1985-03-31,1985-05-31,2,2.6722573297850785,3.7743977049315536,1.214713406528013,,
1985-03-31,1985-06-30,3,2.6722573297850785,3.390444750338051,0.515793171040532,,
1985-03-31,1985-09-30,6,2.6722573297850785,3.3454450327076835,0.45318168336621345,,
1985-03-31,1986-03-31,12,2.6722573297850785,0.9069525190595228,3.1163010747707895,,
1985-04-30,1985-05-31,1,2.757078837926757,3.7743977049315536,1.0349376771639234,,
1985-04-30,1985-06-30,2,2.757078837926757,3.390444750338051,0.401152379004591,,
1985-04-30,1985-07-31,3,2.757078837926757,3.352522858110407,0.35455358117246744,,
1985-04-30,1985-10-31,6,2.757078837926757,2.9515649536234534,0.037824849198788854,,
1985-04-30,1986-04-30,12,2.757078837926757,0.9748441087906512,3.1763606297388476,,
1985-05-31,1985-06-30,1,2.852963041566548,3.390444750338051,0.2888865872639347,,
1985-05-31,1985-07-31,2,2.852963041566548,3.352522858110407,0.24956001030533434,,
1985-05-31,1985-08-31,3,2.852963041566548,2.96492433408524,0.012535331022456098,,
1985-05-31,1985-11-30,6,2.852963041566548,3.1411676086260387,0.08306187247394854,,
1985-05-31,1986-05-31,12,2.852963041566548,0.7370508251524521,4.477084507570411,,
1985-06-30,1985-07-31,1,2.9693026198449255,3.352522858110407,0.14685775101625256,,
1985-06-30,1985-08-31,2,2.9693026198449255,2.96492433408524,1.9169386193466457e-05,,
1985-06-30,1985-09-30,3,2.9693026198449255,3.3454450327076835,0.14148311475421746,,
1985-06-30,1985-12-31,6,2.9693026198449255,3.2381344856058814,0.07227057204851658,,
1985-06-30,1986-06-30,12,2.9693026198449255,0.7665752569242068,4.852007835359664,,
1985-07-31,1985-08-31,1,3.067563079065918,2.96492433408524,0.010534711971208708,,
1985-07-31,1985-09-30,2,3.067563079065918,3.3454450327076835,0.07721838015976425,,
1985-07-31,1985-10-31,3,3.067563079065918,2.9515649536234534,0.013455565106165773,,
1985-07-31,1986-01-31,6,3.067563079065918,2.195150650368105,0.7611034457464166,,
1985-07-31,1986-07-31,12,3.067563079065918,0.5052070419042876,6.565668461178655,,
1985-08-31,1985-09-30,1,3.145853436065927,3.3454450327076835,0.03983680545000554,,
1985-08-31,1985-10-31,2,3.145853436065927,2.9515649536234534,0.037748014409799434,,
1985-08-31,1985-11-30,3,3.145853436065927,3.1411676086260387,2.1956978796411402e-05,,
1985-08-31,1986-02-28,6,3.145853436065927,1.343249624002385,3.249380503266014,,
1985-08-31,1986-08-31,12,3.145853436065927,0.7206989096513405,5.881374476989158,,
1985-09-30,1985-10-31,1,3.1872804542421838,2.9515649536234534,0.05556179723193867,,
1985-09-30,1985-11-30,2,3.1872804542421838,3.1411676086260387,0.0021263945308184267,,
