cutoff,target_time,horizon_step,y_true,mean,sd,last_20_values,q_0.025,q_0.10,q_0.25,median,q_0.75,q_0.90,q_0.975
1961-09-30,1961-10-31,1,0.7731092436974896,1.3704074246451756,0.29397476946538076,"[1.2409513960703222, 1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176]",0.8415180231066105,0.9139221644290417,1.2384058547450505,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-09-30,1961-11-30,2,0.671591672263272,1.3704074246451756,0.29397476946538076,"[1.2409513960703222, 1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176]",0.8415180231066105,0.9139221644290417,1.2384058547450505,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-09-30,1961-12-31,3,0.6709158000671067,1.3704074246451756,0.29397476946538076,"[1.2409513960703222, 1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176]",0.8415180231066105,0.9139221644290417,1.2384058547450505,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-09-30,1962-03-31,6,1.1058981233244003,1.3704074246451756,0.29397476946538076,"[1.2409513960703222, 1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176]",0.8415180231066105,0.9139221644290417,1.2384058547450505,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-09-30,1962-09-30,12,1.4676450967311627,1.3704074246451756,0.29397476946538076,"[1.2409513960703222, 1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176]",0.8415180231066105,0.9139221644290417,1.2384058547450505,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-10-31,1961-11-30,1,0.671591672263272,1.3708387471077863,0.2937810982137469,"[1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176, 1.249577845322536]",0.8415180231066105,0.9139221644290417,1.2448756916842108,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-10-31,1961-12-31,2,0.6709158000671067,1.3708387471077863,0.2937810982137469,"[1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176, 1.249577845322536]",0.8415180231066105,0.9139221644290417,1.2448756916842108,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-10-31,1962-01-31,3,0.6702412868632601,1.3708387471077863,0.2937810982137469,"[1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176, 1.249577845322536]",0.8415180231066105,0.9139221644290417,1.2448756916842108,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-10-31,1962-04-30,6,1.3418316001341912,1.3708387471077863,0.2937810982137469,"[1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176, 1.249577845322536]",0.8415180231066105,0.9139221644290417,1.2448756916842108,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
1961-10-31,1962-10-31,12,1.33422281521014,1.3708387471077863,0.2937810982137469,"[1.4137931034482687, 1.5188125647221271, 1.9323671497584405, 1.8250688705234277, 1.7176228100309163, 1.3722126929674117, 1.473612063056895, 1.2307692307692353, 1.362862010221466, 1.465076660988074, 1.3600816048962905, 1.6002723867892366, 1.4620877252635056, 1.4620877252635056, 0.9140148950575576, 0.9130875887723988, 0.7767646065518496, 1.25211505922167, 1.1144883485309176, 1.249577845322536]",0.8415180231066105,0.9139221644290417,1.2448756916842108,1.3930028982078402,1.484912188473203,1.7283674160801676,1.8814004671218092
