cutoff,target_time,horizon_step,prediction,y_true,squared_residual,sigma_hat,h_step_sd
1983-01-31,1983-02-28,1,4.79265656085035,4.768721860980585,0.0005728698578557467,,
1983-01-31,1983-03-31,2,4.79265656085035,4.783272929287596,8.805254130550917e-05,,
1983-01-31,1983-04-30,3,4.79265656085035,4.5235052725404845,0.07244241599886043,,
1983-01-31,1983-07-31,6,4.79265656085035,2.213526785045916,6.6519104004410305,,
1983-01-31,1984-01-31,12,4.79265656085035,2.656625495119247,4.562628713768353,,
1983-02-28,1983-03-31,1,4.768721860980585,4.783272929287596,0.00021173358887531694,inf,inf
1983-02-28,1983-04-30,2,4.768721860980585,4.5235052725404845,0.06013117524620153,inf,inf
1983-02-28,1983-05-31,3,4.768721860980585,3.277625509303417,2.223368329984961,inf,inf
1983-02-28,1983-08-31,6,4.768721860980585,1.7130447254675385,9.337162756497216,inf,inf
1983-02-28,1984-02-29,12,4.768721860980585,2.885039499540732,3.5482592387996212,inf,inf
1983-03-31,1983-04-30,1,4.783272929287596,4.5235052725404845,0.06747923549188534,0.028010773761734317,0.028010773761734317
1983-03-31,1983-05-31,2,4.783272929287596,3.277625509303417,2.2669741533050165,0.24539606310515058,0.24539606310515058
1983-03-31,1983-06-30,3,4.783272929287596,2.797085162561608,3.9449418446919684,1.5151933031741598,1.5151933031741598
1983-03-31,1983-09-30,6,4.783272929287596,1.4476061393639883,11.126672933399268,3.998633911342503,3.998633911342503
1983-03-31,1984-03-31,12,4.783272929287596,3.3568653687754857,2.0346385286861106,2.8479620700718566,2.8479620700718566
1983-04-30,1983-05-31,1,4.5235052725404845,3.277625509303417,1.5522163844436518,0.18474825971929532,0.18474825971929532
1983-04-30,1983-06-30,2,4.5235052725404845,2.797085162561608,2.9805263961394752,1.0787013908150216,1.0787013908150216
1983-04-30,1983-07-31,3,4.5235052725404845,2.213526785045916,5.336000612687694,1.7664586876963455,1.7664586876963455
1983-04-30,1983-10-31,6,4.5235052725404845,1.4252355659182037,9.599275174973315,3.682101715755386,3.682101715755386
1983-04-30,1984-04-30,12,4.5235052725404845,3.1864306534094,1.7877685371245347,2.252279565379716,2.252279565379716
1983-05-31,1983-06-30,1,3.277625509303417,2.797085162561608,0.2309190248467376,0.7349558316393959,0.7349558316393959
1983-05-31,1983-07-31,2,3.277625509303417,2.213526785045916,1.1323060949664403,1.3301277854943108,1.3301277854943108
1983-05-31,1983-08-31,3,3.277625509303417,1.7130447254675385,2.4479130291484914,1.9644128218005743,1.9644128218005743
1983-05-31,1983-11-30,6,3.277625509303417,1.7867157181102211,2.2228120054757383,3.498333949435113,3.498333949435113
1983-05-31,1984-05-31,12,3.277625509303417,2.883829557170525,0.15507525191625096,1.9944335050650865,1.9944335050650865
1983-06-30,1983-07-31,1,2.797085162561608,2.213526785045916,0.340540379968747,0.6803306637637697,0.6803306637637697
1983-06-30,1983-08-31,2,2.797085162561608,1.7130447254675385,1.1751436692551018,1.268860302810995,1.268860302810995
1983-06-30,1983-09-30,3,2.797085162561608,1.4476061393639883,1.8210936340504025,1.8724760500812805,1.8724760500812805
1983-06-30,1983-12-31,6,2.797085162561608,2.1363839705601078,0.4365260651122036,3.120009345770721,3.120009345770721
1983-06-30,1984-06-30,12,2.797085162561608,2.790260149851065,4.6580798499078495e-05,1.7384166841047395,1.7384166841047395
1983-07-31,1983-08-31,1,2.213526785045916,1.7130447254675385,0.25048229195981475,0.6621086962422035,0.6621086962422035
1983-07-31,1983-09-30,2,2.213526785045916,1.4476061393639883,0.5866344354818213,1.2341125995186615,1.2341125995186615
1983-07-31,1983-10-31,3,2.213526785045916,1.4252355659182037,0.6214030461538552,1.7802112159270527,1.7802112159270527
1983-07-31,1984-01-31,6,2.213526785045916,2.656625495119247,0.19633646686864967,2.8062202100298106,2.8062202100298106
1983-07-31,1984-07-31,12,2.213526785045916,2.808724453310263,0.35426026430731533,1.554890147315454,1.554890147315454
1983-08-31,1983-09-30,1,1.7130447254675385,1.4476061393639883,0.07045764299265184,0.6380206266463971,0.6380206266463971
1983-08-31,1983-10-31,2,1.7130447254675385,1.4252355659182037,0.08283411232049448,1.1691737807055147,1.1691737807055147
1983-08-31,1983-11-30,3,1.7130447254675385,1.7867157181102211,0.005427415156958197,1.6566614476468546,1.6566614476468546
1983-08-31,1984-02-29,6,1.7130447254675385,2.885039499540732,1.3735717504548755,2.5680957862057836,2.5680957862057836
1983-08-31,1984-08-31,12,1.7130447254675385,2.896431347585837,1.400403897408557,1.4400623317181265,1.4400623317181265
1983-09-30,1983-10-31,1,1.4476061393639883,1.4252355659182037,0.0005004425562932447,0.5991517293104858,0.5991517293104858
1983-09-30,1983-11-30,2,1.4476061393639883,1.7867157181102211,0.11499530639744748,1.087896928498537,1.087896928498537
1983-09-30,1983-12-31,3,1.4476061393639883,2.1363839705601078,0.47441490074723003,1.5340232037671955,1.5340232037671955
1983-09-30,1984-03-31,6,1.4476061393639883,3.3568653687754857,3.6452708050929847,2.418508027489625,2.418508027489625
1983-09-30,1984-09-30,12,1.4476061393639883,2.7061688590633404,1.5839801194170298,1.4062656227860695,1.4062656227860695
1983-10-31,1983-11-30,1,1.4252355659182037,1.7867157181102211,0.1306679004287641,0.5605109282728697,0.5605109282728697
1983-10-31,1983-12-31,2,1.4252355659182037,2.1363839705601078,0.5057320534247254,1.024672715776439,1.024672715776439
1983-10-31,1984-01-31,3,1.4252355659182037,2.656625495119247,1.5163211577377504,1.4554640681162667,1.4554640681162667
