Model,horizon_step,RMSE,MAE,CRPS
DRF_CH,1,0.41157286232633783,0.3019561463188033,0.22750922525496398
DRF_CH,2,0.5299170260753235,0.39345308001386226,0.2905674001453532
DRF_CH,3,0.6221044110112275,0.4649222854379568,0.3385930001774411
DRF_CH,6,0.8017358177891155,0.5882733758639563,0.4224737087858998
DRF_CH,12,0.8690872592323599,0.6190354280061933,0.44042338060414427
DRF_EU,1,1.294978369501166,0.7122249272163387,0.5082119168022654
DRF_EU,2,1.3970850342040668,0.8250610845104935,0.5810431539573641
DRF_EU,3,1.491504038169747,0.9096157307638543,0.638996283754822
DRF_EU,6,1.6691240078217844,1.0592829335098362,0.7356476252856639
DRF_EU,12,1.8324297618792271,1.113916708624082,0.8041762785358321
DRF_US,1,0.5904321982142025,0.3950469395917724,0.29553642035303224
DRF_US,2,0.7887554949823711,0.53882632282129606,0.40060784978978703
DRF_US,3,0.9239919390194274,0.6265996983237514,0.46654607271325177
DRF_US,6,1.1729935384869665,0.78524068722679,0.5752544689070276
DRF_US,12,1.3408935913907916,0.8637906888927309,0.6195105043326041
