cutoff,target_time,horizon_step,y_true,q025,q05,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,q95,q975,mean_vec
2013-03-31,2013-04-30,1,1.3008445960438486,-0.173189727561391,0.006426666462455155,0.7912385971278479,1.5533681246204483,1.64513042456563,1.6834286601508606,1.8365321461946358,1.9203812756976195,2.098164439335462,2.3016147809657617,2.412098625136132,2.5086609926800514,2.6524020529775965,2.753104746856567,3.064444002083591,1.8987912134353162
2013-04-30,2013-05-30,1,1.4426323570022603,-0.2824595751029566,-0.16525849362695882,0.4984659104012612,1.1873505453116822,1.2978371997793492,1.5636194346055619,1.6838628797505233,1.8369294764885313,1.9765372778600252,2.1980322989389465,2.2561278401576517,2.4143586743056145,2.6345603845348147,2.7468918478823476,2.970074964858137,1.7458967051259453
2013-05-31,2013-06-30,1,1.5971179973222505,-0.29917276511741875,-0.17086549016632363,0.39660205927776043,1.1277997296904894,1.2727309036003442,1.4348258130780942,1.6283378205070087,1.761246135356103,1.9056696637732313,2.0883081770368648,2.213127848537138,2.369730229107115,2.6101927756224996,2.7004133225151947,2.9531110022967755,1.6644947959405714
2013-06-30,2013-07-30,1,1.5495402684960968,-0.3129592089337665,-0.16630033379613945,0.48177875716275415,1.2081102176206362,1.4001801026330225,1.4429861243956492,1.5997874932771166,1.7528814172431222,1.8641696408350903,1.993291754826799,2.127668630693486,2.214743688372082,2.603223649867394,2.6941790132641272,2.9580215022610403,1.6701397779203462
2013-07-31,2013-08-31,1,1.2681318220913784,-0.33874232107044083,-0.16969295236221166,0.49452508398228345,1.1851174924932917,1.349425589454838,1.4403669455714367,1.588099036615085,1.6482669132969325,1.7638335994429353,1.9119903076729807,1.9943055791013615,2.1933582343088065,2.546557943793624,2.67329992313335,2.92663228083723,1.621678413266442
2013-08-31,2013-09-30,1,1.0646121693895338,-0.3154844467949896,-0.17011900152675913,0.4801556757169381,1.1473589071063817,1.238330019172964,1.3006469608307236,1.4664832094010376,1.597215101525833,1.7528309266671342,1.8815691355668875,1.920892893119583,2.0939892223167647,2.4333858189698487,2.6436412281164308,2.752195813690112,1.5585748005980251
2013-09-30,2013-10-30,1,0.7358612518268526,-0.4949599101646093,-0.18182605205949462,0.003243583362922242,0.94988187835601,1.0545446250566846,1.183262164887466,1.4333779219334255,1.5681792592284987,1.6411786123450507,1.8342639672608712,1.9056661196733848,1.9942784439689172,2.4232946876243773,2.651087541647419,2.813337747481176,1.4555578885154565
2013-10-31,2013-11-30,1,0.8245782256382617,-0.5192293343481817,-0.25886449301993586,-0.15976488204097192,0.6197288850041812,0.7341827093289244,0.9956690659434627,1.1955694704671633,1.4384814715631726,1.585306188567675,1.6546857584284922,1.7629561992383807,1.905749867927367,2.3658150895454577,2.6124183157054652,2.7307083875709526,1.3090750032624228
2013-11-30,2013-12-30,1,0.9204412099854008,-0.5831020984930854,-0.31399837152092724,-0.16630000556521418,0.5909876172287343,0.7302505990553345,0.8358902636574665,1.095468965640464,1.4088375931476418,1.5334342551480513,1.639003924159391,1.7536931992082494,1.8403823186612478,2.2132959486193005,2.6087437731870624,2.7448040924603787,1.2545700340213342
2013-12-31,2014-01-31,1,0.7754940917477526,-0.5470176811188694,-0.28459121579713903,-0.1578295889256216,0.6584062148920342,0.7877808733966598,0.8841895306823531,1.032079124803501,1.2681750617576062,1.4773030036713661,1.6368112495504143,1.6801064865195905,1.8353511136794038,2.212132355377935,2.6103097377995326,2.717698911906056,1.2470540118717088
