cutoff,target_time,horizon_step,y_true,q025,q05,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,q95,q975,mean_vec
1986-03-31,1986-04-30,1,1.5887850467289688,1.5213794710881114,1.7656951838234711,2.18314912516809,2.540934663117182,2.5947937523016282,2.7568578098228507,2.954768908908777,3.198638483545193,3.321573355909013,3.5066381041211354,3.59011354459635,3.6574683070322265,3.9929533922009504,4.327605116975503,4.692830368073335,3.1479908941253743
1986-04-30,1986-05-30,1,1.679104477611948,1.1968808485378049,1.4098906501349886,1.5782465868492084,1.9195733966569455,2.3289664271647816,2.461656664438181,2.59979463054609,2.8155080846969294,3.1292157141910146,3.2753542319371336,3.455017114289218,3.5417671817325553,3.79088633884166,4.218861624123051,4.4739799768701065,2.8340583912467214
1986-05-31,1986-06-30,1,1.7674418604651132,1.1032447727204204,1.219467306030398,1.5410249982755453,1.7031575003545476,1.881087629773239,2.2124371006780343,2.564619360631967,2.7622339736540384,2.959921112463056,3.2314349088457646,3.3676752432787316,3.4924789441763764,3.7818520862507428,4.166661681576836,4.467366880603132,2.7222873954101043
1986-06-30,1986-07-30,1,1.671309192200554,1.0967759473643157,1.1979312972415954,1.5409887641141513,1.698650234979231,1.7410893986667655,1.7895183225663527,2.322672971717648,2.587524458937616,2.7673735677272693,3.111499397367046,3.2136924365995894,3.381617013320661,3.658710809063136,3.9294958932530717,4.287539474944836,2.5625510641580016
1986-07-31,1986-08-31,1,1.575532900834098,1.0254247838655892,1.1891906217686983,1.3511580425974663,1.614806854054383,1.6693558605125463,1.6892697287471092,1.7701065438713373,2.3200840805409806,2.5938437454356507,2.867059347117608,3.1100417570550114,3.234923020641322,3.6110378272741612,3.7914691943128043,4.215022712554552,2.3876274553031402
1986-08-31,1986-09-30,1,1.757631822386685,0.9845028505081949,1.1459539080028966,1.2504783243820445,1.5611307761675666,1.5821104456035369,1.6474435635572755,1.7065750066731002,1.8422655846014349,2.3980523876811346,2.7549092518934897,2.822958586004191,3.0831971790493595,3.506444592215953,3.77415413177452,3.9563075797169187,2.227287195407163
1986-09-30,1986-10-30,1,1.5668202764977046,0.9851304316807976,1.143585672157848,1.2464596202324758,1.5615976529572773,1.6026926449064944,1.6544813530260176,1.7227313398551478,1.7659267020311393,1.9265153335334897,2.5933347389606682,2.763619634464566,2.8679742497305543,3.4613970356213564,3.77445743217202,3.95971897193345,2.1746040667447066
1986-10-31,1986-11-30,1,1.2844036697247765,0.9567300756825545,1.0962220698292073,1.1982279272797036,1.4210642436366783,1.556487695344928,1.5687876253820625,1.6527550676723008,1.7280581454370776,1.7706970799619506,2.392324418529003,2.58790554223475,2.763646957579155,3.234695131088925,3.5878241298024824,3.791469194312803,2.029803521959353
1986-11-30,1986-12-30,1,1.187214611872145,0.7760152680486677,0.9138768164363976,1.1096162953843998,1.2492593733651554,1.2984777675276693,1.3717876083332594,1.5645659328015589,1.6451343310073996,1.7340142874105413,1.837347560820446,1.9236636324357892,2.551069864433434,2.95089581607048,3.5005676390925364,3.7754654398677627,1.8461443961664485
1986-12-31,1987-01-31,1,1.364877161055511,0.7700736276294569,0.9052516355748552,1.0770754913949478,1.1862706846327165,1.197797911531064,1.25481310590427,1.3710737446852506,1.5640776899381248,1.652179747604535,1.7463913431917422,1.7991591701709013,1.9304821506209957,2.7836157355149487,3.340938582836886,3.647798015170677,1.7227216219968884
1987-01-31,1987-02-28,1,1.9143117593436676,0.7771162209798915,0.9137075584163445,1.0989784791890236,1.1962382950713644,1.2222662973293734,1.284026600981819,1.3624307039894537,1.547211332492109,1.6110647906500066,1.7183102976432032,1.7576026290015612,1.9181965105666945,2.763589450457375,3.193405672201283,3.6311414703895446,1.685829468245694
1987-02-28,1987-03-28,1,2.8414298808432603,0.8950360132294037,0.9811071025228597,1.1356182324280126,1.2504013163981202,1.3280485451525443,1.3781919944736156,1.5567130107065912,1.6138202469084884,1.7347857187194233,1.8889162021436992,1.9195919644887123,2.4438053655282066,2.8678812964668894,3.4851766804608255,3.7598600649278238,1.8263578814123895
1987-03-31,1987-04-30,1,3.679852805887762,1.0416935252519117,1.1760383877447238,1.230726528421419,1.4620877252635056,1.5694798478817318,1.6122799479762673,1.771162876894609,2.082207889023373,2.727100768299339,2.8414064896729827,2.9569220806302403,3.228614007177872,3.637249914584877,3.857411024014015,4.289795067623894,2.356574548452681
1987-04-30,1987-05-30,1,3.669724770642202,1.1273242205256657,1.1975823908853602,1.4046275514122821,1.733508172489459,1.9177869681915904,2.47263414305794,2.867836450624782,3.2638452282456494,3.5389507497141066,3.658060323571287,3.7837323432237784,3.848141279899741,4.289703093415658,4.693903211749164,4.860441249711399,3.037884533895834
1987-05-31,1987-06-30,1,3.7477148080438782,1.2055724873970568,1.4100687683065243,1.7080936598110958,2.561811519818584,2.8413941552863813,3.1881537268643774,3.357338757279456,3.5552437000094343,3.650257605244151,3.7910626503136826,3.894998662912292,3.972619274589314,4.475680919674198,4.811922025554209,5.274050745134115,3.3712787721823743
1987-06-30,1987-07-30,1,3.926940639269394,1.3493476078987516,1.5804445241295013,1.9231258263631914,2.861577862210603,3.1903220663379446,3.237928921199267,3.455103957394539,3.5765563070581825,3.670683743578677,3.791469194312802,3.9329413733361305,4.059610433892685,4.48968731526197,4.816484081751255,5.293813791562704,3.486013713443188
1987-07-31,1987-08-31,1,4.2883211678832245,1.573456398639951,1.7590347616253028,2.5967020040049267,3.199117656228478,3.299213899725709,3.4450644941590833,3.5743999009657754,3.709284016023585,3.887222035785867,4.03202949142805,4.224439557978611,4.305270792968151,4.693597314649861,4.885000651651433,5.473153849859921,3.709300536007788
1987-08-31,1987-09-30,1,4.2727272727272725,1.7250673968905976,2.4360187706795173,3.1763697747998667,3.485506303720504,3.5743304714938184,3.6557366688288404,3.864759037439046,4.15778354690727,4.286917985772814,4.361328011746902,4.467870744540141,4.546137271544831,4.882709955130807,5.52189419057009,5.741288101606765,4.046474388200908
1987-09-30,1987-10-30,1,4.355716878402904,2.09084550025222,2.6730018381745726,3.240113027085143,3.5746015654682113,3.668575708317837,3.7914691943128105,4.103967258913903,4.269651715588458,4.297478894248268,4.377332294799189,4.470854635482367,4.531964723310292,4.878197925541548,5.516242243500844,5.738948500251593,4.153788183447374
